,Listado de productos Bioequivalentes actualizado al 27 de Octubre de 2015,,,,,,
146,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,AMOXICILINA/ACIDO CLAVULANICO 875/125 COMPRIMIDOS RECUBIERTOS ,F-20795,ASCEND LABORATORIES SpA
147,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,AMOXICILINA/ACIDO CLAVULANICO 875/125 COMPRIMIDOS RECUBIERTOS,F-21230,ASCEND LABORATORIES SpA
148,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,MAXIMOX 875/125 COMPRIMIDOS RECUBIERTOS,F-14065,LABORATORIO PASTEUR S.A.
149,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,AMOLEX DUO 875/125 COMPRIMIDOS RECUBIERTOS,F-19777,LABORATORIOS ANDRÓMACO S.A.
150,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,AMOXICILINA / ÁCIDO CLAVULÁNICO 875/125 COMPRIMIDOS RECUBIERTOS,F-19776,LABORATORIOS ANDRÓMACO S.A.
151,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,CLAVAM DUO 875/125 COMPRIMIDOS RECUBIERTOS,F-19292,LABORATORIOS EUROMED CHILE S.A.
152,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,CLAVOXILINA BID 875/125 COMPRIMIDOS RECUBIERTOS,F-10054,LABORATORIOS LAFI LTDA.
153,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,CLAVINEX DUO 875/125 COMPRIMIDOS RECUBIERTOS,F-12676,LABORATORIOS SAVAL S.A.
154,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,AMOXICILINA + ÁCIDO CLAVULÁNICO 500/125 COMPRIMIDOS RECUBIERTOS,F-18286,OPKO CHILE S.A.
155,Antibiótico,AZITROMICINA,Zithromax,Pfizer,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-21866,ASCEND LABORATORIES SpA
156,Antibiótico,AZITROMICINA,Zithromax,Pfizer,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-22082,BLUEPHARMA CHILE S.P.A.
157,Antibiótico,AZITROMICINA,Zithromax,Pfizer,AZITROM COMPRIMIDOS RECUBIERTOS 500 mg,F-8337,LABORATORIO CHILE S.A.
158,Antibiótico,AZITROMICINA,Zithromax,Pfizer,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-4270,LABORATORIO CHILE S.A.
159,Antibiótico,AZITROMICINA,Zithromax,Pfizer,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-19316,LABORATORIOS ANDRÓMACO S.A.
160,Antibiótico,AZITROMICINA,Zithromax,Pfizer,ABACTEN COMPRIMIDOS RECUBIERTOS 500 mg,F-11176,LABORATORIOS ANDRÓMACO S.A.
161,Antibiótico,AZITROMICINA,Zithromax,Pfizer,TREX COMPRIMIDOS RECUBIERTOS 500 mg,F-9808,LABORATORIOS SAVAL S.A.
162,Antibiótico,AZITROMICINA,Zithromax,Pfizer,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-14422,MINTLAB Co. S.A.
163,Antibiótico,AZITROMICINA,Zithromax,Pfizer,ESCOVERANCE COMPRIMIDOS RECUBIERTOS 500 mg,F-20532,SANOFI-AVENTIS DE CHILE S.A.
164,Antibiótico,CEFADROXILO,Cefamox,Bristol Myers Squibb,ADROXEF CÁPSULAS 500 mg,F-21104,LABORATORIO CHILE S.A.
165,Antibiótico,CEFADROXILO,Cefamox,Bristol Myers Squibb,CEFADROXILO CÁPSULAS 500 mg,F-6518,LABORATORIOS ANDRÓMACO S.A.
166,Antibiótico,CEFADROXILO,Cefamox,Bristol Myers Squibb,CEFADROXILO CÁPSULAS 500 mg,F-6874,MINTLAB Co. S.A.
167,Antibiótico,CEFALEXINA,Keflex,Flynn Pharma,CEFALEXINA CÁPSULAS 500 mg,F-20229,ASCEND LABORATORIES SpA
168,Antibiótico,CEFALEXINA,Keflex,Flynn Pharma,CEFALEXINA CÁPSULAS 250 mg,F-20232,ASCEND LABORATORIES SpA
169,Antibiótico,CEFUROXIMA,Curocef,Glaxosmithkline,FAVANEX COMPRIMIDOS RECUBIERTOS 500 mg,F-20237,ASCEND LABORATORIES SpA
170,Antibiótico,CEFUROXIMA,Curocef,Glaxosmithkline,CEFUROXIMA COMPRIMIDOS RECUBIERTOS 500 mg,F-21410,ASCEND LABORATORIES SpA
171,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-20718,ASCEND LABORATORIES SpA
172,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-21552,ASCEND LABORATORIES SpA
173,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-8722,CHEMOPHARMA S.A.
174,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CETRAXAL COMPRIMIDOS RECUBIERTOS 500 mg,F-19908, FAES FARMA CHILE, SALUD Y NUTRICIÓN LTDA. 
175,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,TIGINA COMPRIMIDOS RECUBIERTOS 500 mg,F-18455,INTERPHARMA S.A.
176,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-21270,INTERPHARMA S.A.
177,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-8360,LABORATORIO CHILE S.A.
178,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,GRIFOCIPROX COMPRIMIDOS RECUBIERTOS 500 mg,F-8425,LABORATORIO CHILE S.A.
179,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-18221,LABORATORIOS EUROMED CHILE S.A.
180,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROVAL COMPRIMIDOS RECUBIERTOS 500 mg,F-5523,LABORATORIOS SAVAL S.A.
181,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-9877,MINTLAB CO. S.A.
182,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-14779,OPKO CHILE S.A.
183,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-20908,OPKO CHILE S.A.
184,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIRIAX 500 COMPRIMIDOS RECUBIERTOS 500 mg,F-17398,PHARMA INVESTI DE CHILE S.A.
185,Antibiótico,CLARITROMICINA,Klaricid,Abbott Laboratories,CLARIMAX COMPRIMIDOS RECUBIERTOS 500 mg,F-14037,LABORATORIOS ANDRÓMACO S.A.
186,Antibiótico,CLARITROMICINA,Klaricid,Abbott Laboratories,CLARITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-13825,LABORATORIOS ANDRÓMACO S.A.
187,Antibiótico,DOXICICLINA,Vibramicina,Pfizer,DOXICICLINA COMPRIMIDOS 100 mg,F-8392,LABORATORIO CHILE S.A.
188,Antibiótico,DOXICICLINA,Vibramicina,Pfizer,TOLEXINE GE 100 COMPRIMIDOS 100 mg,F-15120,LABORATORIOS D & M PHARMA LTDA.
189,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis,AUXXIL COMPRIMIDOS RECUBIERTOS 500 mg,F-6249,LABORATORIO CHILE S.A.
190,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis,LEVOFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-15283,LABORATORIO CHILE S.A.
191,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis,AUXXIL COMPRIMIDOS RECUBIERTOS 750 mg,F-14915,LABORATORIO CHILE S.A.
192,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis,QUINOBIOT COMPRIMIDOS RECUBIERTOS 500 mg,F-7405,LABORATORIOS ANDRÓMACO S.A.
193,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis,QUINOBIOT COMPRIMIDOS RECUBIERTOS 750 mg,F-14228,LABORATORIOS ANDRÓMACO S.A.
194,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis,LEVOXIN COMPRIMIDOS RECUBIERTOS 500 mg,F-19998,LABORATORIOS EUROMED CHILE S.A.
195,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis,LEVOFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-21740,LABORATORIOS EUROMED CHILE S.A.
196,Antibiótico,LINEZOLIDA,Zyvoxid,Pfizer,LINEZOLIDA COMPRIMIDOS RECUBIERTOS 600 mg,F-21354,NOVARTIS CHILE S.A.
197,Antibiótico,LINEZOLIDA,Zyvoxid,Pfizer,LINEZET COMPRIMIDOS RECUBIERTOS 600 mg,F-22121,SYNTHON CHILE LTDA
198,Antibiótico,MOXIFLOXACINO,Avelox,Bayer,MOXICINO COMPRIMIDOS RECUBIERTOS 400 mg,F-22172,LABORATORIOS ANDRÓMACO S.A.
199,Antibiótico,MOXIFLOXACINO,Avelox,Bayer,ALMAXOL COMPRIMIDOS RECUBIERTOS 400 mg (MOXIFLOXACINO CLORHIDRATO),F-21767,MINTLAB Co. S.A.
200,Antibiótico,MOXIFLOXACINO,Avelox,Bayer,MOXIFLOXACINO COMPRIMIDOS RECUBIERTOS 400 mg (MOXIFLOXACINO CLORHIDRATO),F-21768,MINTLAB Co. S.A.
201,Antibiótico,NITROFURANTOÍNA,Microdantina,Boehringer Ingelheim,MACROSAN CÁPSULAS 100 mg,F-3632,INSTITUTO SANITAS S.A.
202,Antibiótico,NITROFURANTOÍNA,Microdantina,Boehringer Ingelheim,MACROSAN CÁPSULAS 50 mg,F-3633,INSTITUTO SANITAS S.A.
203,Antibiótico - Antiparasitario,METRONIDAZOL,Flagyl,Sanofi-Aventis,METROPAST COMPRIMIDOS 500 mg,F-11648,LABORATORIO PASTEUR S.A.
204,Anticoagulante,ACENOCUMAROL,Neo-sintrom,Novartis, COAROL COMPRIMIDOS 4,0 mg ,F-7516,LABORATORIOS ANDRÓMACO S.A.
205,Anticoagulante,ACENOCUMAROL,Neo-sintrom,Novartis,ACEBRON COMPRIMIDOS 4 mg,F-16094,LABORATORIOS RECALCINE S.A.
206,Anticoagulante,ACENOCUMAROL,Neo-sintrom,Novartis,ISQUELIUM COMPRIMIDOS 4 mg,F-9091,SYNTHON CHILE LTDA.
207,Anticonceptivo,CLORMADINONA+ETINILESTRADI OL,Belara,Grünenthal,VIORA COMPRIMIDOS RECUBIERTOS,F-21578,EXELTIS CHILE S.p.A.
208,Anticonceptivo,DESOGESTREL,Cerazette,Merck Sharp & Dohme,SOLUNA COMPRIMIDOS 75 mcg,F-20132,MINTLAB CO. S.A.
209,Anticonceptivo,DIENOGEST,Visanne,Bayer,DALGIET COMPRIMIDOS 2 mg,F-21673,EXELTIS CHILE S.p.A.
210,Anticonceptivo,DIENOGEST+ETINILESTRADIOL,Valette,Jenapharm,DANIELE COMPRIMIDOS RECUBIERTOS,F-21685,EXELTIS CHILE S.p.A.
211,Anticonceptivo,ETINILESTRADIOL / DESOGESTREL,Marvelon,Merck Sharp & Dohme,SOLUNA-E 20 COMPRIMIDOS,F-20210,MINTLAB CO. S.A.
212,Anticonceptivo,ETINILESTRADIOL / DESOGESTREL,Marvelon,Merck Sharp & Dohme,SOLUNA E COMPRIMIDOS,F-20211,MINTLAB CO. S.A.
213,Anticonceptivo,ETINILESTRADIOL / DROSPIRENONA,Yasmin,Bayer,LADEE 20 COMPRIMIDOS RECUBIERTOS,F-21659,EXELTIS CHILE S.P.A.
214,Anticonceptivo,ETINILESTRADIOL / DROSPIRENONA,Yasmin,Bayer,LADEE COMPRIMIDOS RECUBIERTOS,F-21650,EXELTIS CHILE S.P.A.
215,Anticonceptivo,ETINILESTRADIOL / DROSPIRENONA,Yasmin,Bayer,LADYGEX COMPRIMIDOS,F-20497,MINTLAB CO. S.A.
216,Anticonceptivo,ETINILESTRADIOL / DROSPIRENONA,Yasmin,Bayer,LADYGEX-20 COMPRIMIDOS,F-20142,MINTLAB CO. S.A.
217,Anticonceptivo,ETINILESTRADIOL / GESTODENO,Minulet,Wyeth,PRENAL COMPRIMIDOS RECUBIERTOS,F-20228,MINTLAB CO. S.A.
218,Anticonceptivo,ETINILESTRADIOL / LEVONORGESTREL,Microgynon,Bayer,LEVONORGESTREL/ETINILESTRADIOL 150/30 COMPRIMIDOS RECUBIERTOS,F-20506,MINTLAB CO. S.A.
219,Anticonceptivo,ETINILESTRADIOL / LEVONORGESTREL,Microgynon,Bayer,MINEVA E-20 GRAGEAS,F-20189,MINTLAB CO. S.A.
220,Anticonceptivo,ETINILESTRADIOL / LEVONORGESTREL,Microgynon,Bayer,MINEVA E 150/30 comprimidos recubiertos,F-21831,MINTLAB Co. S.A.
221,Anticonceptivo,LEVONORGESTREL,Microval,Laboratorios Wyeth, ANULIT COMPRIMIDOS RECUBIERTOS 0,03 mg ,F-12693,LABORATORIOS SILESIA S.A.
222,Antidepresivo,ATOMOXETINA,Strattera,Eli Lily,DEATEN COMPRIMIDOS 80 mg,F-19291,LABORATORIOS ANDRÓMACO S.A.
223,Antidepresivo,CITALOPRAM,Cipramil,Lundbeck,CITTA COMPRIMIDOS RECUBIERTOS 20 mg,F-19655,LABORATORIOS EUROMED CHILE S.A.
224,Antidepresivo,CITALOPRAM,Cipramil,Lundbeck,CIMAL COMPRIMIDOS RECUBIERTOS 20 mg,F-580,LABORATORIOS LAFI LTDA.
225,Antidepresivo,CITALOPRAM,Cipramil,Lundbeck,CIMAL COMPRIMIDOS RECUBIERTOS 40 mg,F-2256,LABORATORIOS LAFI LTDA.
226,Antidepresivo,CITALOPRAM,Cipramil,Lundbeck,CITALOPRAM COMPRIMIDOS 20 mg,F-17253,MINTLAB CO. S.A.
227,Antidepresivo,CLOMIPRAMINA,Anafranil,Novartis,AUSENTRON COMPRIMIDOS RECUBIERTOS 25 mg,F-8331,LABORATORIO CHILE S.A.
228,Antidepresivo,DULOXETINA,Cymbalta,Eli Lilly,DULOXETINA CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 60 mg,F-20784,ASCEND LABORATORIES SpA
229,Antidepresivo,DULOXETINA,Cymbalta,Eli Lilly,DULOXETINA CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 30 mg,F-20783,ASCEND LABORATORIES SpA
230,Antidepresivo,DULOXETINA,Cymbalta,Eli Lilly,DULOXETINA CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 30 mg,F-22110,ASCEND LABORATORIES SpA
231,Antidepresivo,DULOXETINA,Cymbalta,Eli Lilly,DULOXETINA CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 60 mg,F-22123,ASCEND LABORATORIES SpA
232,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ETALOKARE COMPRIMIDOS RECUBIERTOS 10 mg,F-19232,ETEX FARMACÉUTICA LTDA.
233,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITAVITAE COMPRIMIDOS RECUBIERTOS 20 mg,F-21382,GALENICUM HEALTH CHILE S.p.A.
234,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITAVITAE COMPRIMIDOS RECUBIERTOS 10 mg,F-21383,GALENICUM HEALTH CHILE S.p.A.
235,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,NEOPRESOL COMPRIMIDOS RECUBIERTOS 10 mg,F-15836,LABORATORIO BAGÓ DE CHILE S.A.
236,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 10 mg,F-18595,LABORATORIO CHILE S.A.
237,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ECTIBAN COMPRIMIDOS RECUBIERTOS 10 mg,F-15040,LABORATORIO CHILE S.A.
238,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ECTIBAN COMPRIMIDOS RECUBIERTOS 20 mg,F-15039,LABORATORIO CHILE S.A.
239,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 20 mg,F-20790,LABORATORIOS EUROMED CHILE S.A.
240,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 10 mg,F-20964,LABORATORIOS EUROMED CHILE S.A.
241,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESC COMPRIMIDOS RECUBIERTOS 20 mg,F-21116,LABORATORIOS EUROMED CHILE S.A.
242,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESC COMPRIMIDOS RECUBIERTOS 10 mg,F-21233,LABORATORIOS EUROMED CHILE S.A.
243,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,IPRAN COMPRIMIDOS RECUBIERTOS 10 mg,F-12972,LABORATORIOS RECALCINE S.A.
244,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,IPRAN COMPRIMIDOS RECUBIERTOS 20 mg,F-12973,LABORATORIOS RECALCINE S.A.
245,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,CELTIUM COMPRIMIDOS RECUBIERTOS 20 mg.,F-15513,LABORATORIOS SAVAL S.A.
246,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,CELTIUM COMPRIMIDOS RECUBIERTOS 10 mg,F-14527,LABORATORIOS SAVAL S.A.
247,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,REPOSIL COMPRIMIDOS RECUBIERTOS 10 mg,F-15314,MEDIPHARM LTDA.
248,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 10 mg,F-17605,MINTLAB CO. S.A.
249,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,PREXAN COMPRIMIDOS RECUBIERTOS 10 mg (ESCITALOPRAM),F-21596,MINTLAB Co. S.A.
250,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 10 mg,F-21595,MINTLAB Co. S.A.
251,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,TRESUS COMPRIMIDOS RECUBIERTOS 20 mg,F-19103,NOVARTIS CHILE S.A.
252,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,TRESUS COMPRIMIDOS RECUBIERTOS 10 mg,F-19102,NOVARTIS CHILE S.A.
253,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,NEOZENTIUS COMPRIMIDOS RECUBIERTOS 10 mg,F-15087,PHARMA INVESTI DE CHILE S.A.
254,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,RESTAURAL COMPRIMIDOS RECUBIERTOS 20 mg,F-20627,PHARMAVITA S.A.
255,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,RESTAURAL COMPRIMIDOS RECUBIERTOS 10 mg,F-20626,PHARMAVITA S.A.
256,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ERLINIZ COMPRIMIDOS RECUBIERTOS 10 mg (ESCITALOPRAM),F-21635,SANOFI-AVENTIS DE CHILE S.A.
257,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ERLINIZ COMPRIMIDOS RECUBIERTOS 20 mg (Escitalopram),F-21636,SANOFI-AVENTIS DE CHILE S.A.
258,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,LUNDYA COMPRIMIDOS RECUBIERTOS 10 mg,F-21219,SYNTHON CHILE LTDA.
259,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,LUNDYA COMPRIMIDOS RECUBIERTOS 20 mg,F-21220,SYNTHON CHILE LTDA.
260,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó,ACTAN CÁPSULAS 20 mg,F-5446,EUROLAB LTDA.
261,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó,FLUOXETINA COMPRIMIDOS 20 mg,F-467,INSTITUTO SANITAS S.A.
262,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó,CLINIUM CÁPSULAS 20 mg,F-8894,INSTITUTO SANITAS S.A.
263,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó,LIVERTOX COMPRIMIDOS RECUBIERTOS 20 mg,F-9657,LABORATORIO BAGÓ DE CHILE S.A.
264,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó,FLUOXETINA COMPRIMIDOS 20 mg,F-8411,LABORATORIO CHILE S.A.
265,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó,SOSTAC COMPRIMIDOS 20 mg,F-8497,LABORATORIO CHILE S.A.
266,Antidepresivo,FLUOXETINA,Livertox,Laboratorio Bagó,FLUOXETINA COMPRIMIDOS 20 mg,F-14351,LABORATORIOS ANDRÓMACO S.A.
267,Antidepresivo,MIRTAZAPINA,Promyrtil,Schering Plough,DIVARIL COMPRIMIDOS RECUBIERTOS 30 mg,F-9774,TECNOFARMA S.A.
268,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,PAMAX COMPRIMIDOS RECUBIERTOS 20 mg,F-9013,INSTITUTO SANITAS S.A.
269,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,POSIVYL COMPRIMIDOS RECUBIERTOS 20 mg,F-8481,LABORATORIO CHILE S.A.
270,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,PAROXETINA COMPRIMIDOS RECUBIERTOS 20 mg,F-13726,LABORATORIO CHILE S.A.
271,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,PAROXETINA COMPRIMIDOS RECUBIERTOS 20 mg,F-18058,LABORATORIOS ANDRÓMACO S.A.
272,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,TRAVIATA COMPRIMIDOS RECUBIERTOS 20 mg,F-9538,LABORATORIOS ANDRÓMACO S.A.
273,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,PAROXETINA COMPRIMIDOS RECUBIERTOS 20 mg,F-16751,MINTLAB CO. S.A.
274,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,SUPTRAN COMPRIMIDOS RECUBIERTOS 20 mg,F-16752,MINTLAB CO. S.A.
275,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,PARLUXETIL COMPRIMIDOS RECUBIERTOS 40 mg,F-21098,NOVARTIS CHILE S.A.
276,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,PARLUXETIL COMPRIMIDOS RECUBIERTOS 20 mg,F-21097,NOVARTIS CHILE S.A.
277,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,ZEQUIVEC COMPRIMIDOS RECUBIERTOS 20 mg,F-20668,SANOFI-AVENTIS DE CHILE S.A.
278,Antidepresivo,PAROXETINA,Aroxat,Glaxosmithkline,DRIMPAX COMPRIMIDOS RECUBIERTOS 20 mg,F-18001,SYNTHON CHILE LTDA.
279,Antidepresivo,SERTRALINA,Altruline,Roering,EMERGEN COMPRIMIDOS 100 mg,F-13297,LABORATORIO CHILE S.A.
280,Antidepresivo,SERTRALINA,Altruline,Roering,SERTRALINA COMPRIMIDOS 100 mg,F-18767,LABORATORIO CHILE S.A.
281,Antidepresivo,SERTRALINA,Altruline,Roering,SERTRALINA COMPRIMIDOS RECUBIERTOS 100 mg,F-20974,LABORATORIOS ANDRÓMACO S.A.
282,Antidepresivo,SERTRALINA,Altruline,Roering,SERTAC COMPRIMIDOS RECUBIERTOS 100 mg,F-20975,LABORATORIOS ANDRÓMACO S.A.
283,Antidepresivo,SERTRALINA,Altruline,Roering,SERTRALINA COMPRIMIDOS RECUBIERTOS 50 mg,F-20976,LABORATORIOS ANDRÓMACO S.A.
284,Antidepresivo,SERTRALINA,Altruline,Roering,SERTAC COMPRIMIDOS RECUBIERTOS 50 mg,F-20977,LABORATORIOS ANDRÓMACO S.A.
285,Antidepresivo,SERTRALINA,Altruline,Roering,SEDORAN COMPRIMIDOS RECUBIERTOS 100 mg,F-21524,LABORATORIOS RAFFO S.A.
286,Antidepresivo,SERTRALINA,Altruline,Roering,SEDORAN COMPRIMIDOS RECUBIERTOS 50mg,F-21546,LABORATORIOS RAFFO S.A.
287,Antidepresivo,SERTRALINA,Altruline,Roering,SERTRALINA COMPRIMIDOS RECUBIERTOS 50 mg,F-12420,MINTLAB Co. S.A.
288,Antidepresivo,SERTRALINA,Altruline,Roering,LOWFIN COMPRIMIDOS RECUBIERTOS 50 mg,F-12421,MINTLAB Co. S.A.
289,Antidepresivo,SERTRALINA,Altruline,Roering,LOWFIN COMPRIMIDOS RECUBIERTOS 100 mg,F-13920,MINTLAB Co. S.A.
290,Antidepresivo,SERTRALINA,Altruline,Roering,SERTRALINA COMPRIMIDOS RECUBIERTOS 100 mg,F-13921,MINTLAB Co. S.A.
291,Antidepresivo,SERTRALINA,Altruline,Roering,SERTRALINA COMPRIMIDOS RECUBIERTOS 50 mg,F-18589,OPKO CHILE S.A.
292,Antidepresivo,SERTRALINA,Altruline,Roering,SERONEX COMPRIMIDOS RECUBIERTOS 100 mg,F-20723,PHARMAVITA S.A.
293,Antidepresivo,SERTRALINA,Altruline,Roering,SERONEX COMPRIMIDOS RECUBIERTOS 50 mg,F-20724,PHARMAVITA S.A.
294,Antidepresivo,SERTRALINA,Altruline,Roering,DIELOFT COMPRIMIDOS RECUBIERTOS 50 mg,F-20517,SANOFI-AVENTIS DE CHILE S.A.
295,Antidepresivo,SERTRALINA,Altruline,Roering,DIELOFT COMPRIMIDOS RECUBIERTOS 100 mg,F-20518,SANOFI-AVENTIS DE CHILE S.A.
296,Antidepresivo,SERTRALINA,Altruline,Roering,DIELOFT COMPRIMIDOS RECUBIERTOS 50 mg,F-20519,SANOFI-AVENTIS DE CHILE S.A.
297,Antidepresivo,SERTRALINA,Altruline,Roering,DIELOFT COMPRIMIDOS RECUBIERTOS 100 mg,F-21115,SANOFI-AVENTIS DE CHILE S.A.
298,Antidepresivo,VENLAFAXINA, 1.- Efexor 2.-Venlafaxina , 1.- Wyeth 2.- Teva Pharmaceuticals ,VENLAVITAE CÁPSULAS CON COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 75 mg,F-22137,GALENICUM HEALTH CHILE S.p.A.
299,Antidepresivo,VENLAFAXINA, 1.- Efexor 2.-Venlafaxina , 1.- Wyeth 2.- Teva Pharmaceuticals ,VENLAVITAE CAPSULAS CON COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg,F-22138,GALENICUM HEALTH CHILE S.p.A.
300,Antidepresivo,VENLAFAXINA, 1.- Efexor2.-Venlafaxina , 1.- Wyeth 2.- Teva Pharmaceuticals ,NERVIX COMPRIMIDOS RECUBIERTOS 75 mg,F-12491,LABORATORIO BAGÓ DE CHILE S.A.
