,,"Listado de productos Bioequivalentes, actualizado al 21 de Agosto de 2015",,,,,
"132","LOSARTÁN","LOSARTÁN POTÁSICO COMPRIMIDOS RECUBIERTOS 50 mg","F‐19885","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 8221","13‐04‐2013","Hipertensión arterial"
"133","METOCLOPRAMIDA","METOCLOPRAMIDA CLORHIDRATO COMPRIMIDOS 10 mg","F‐3988","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 1180","15‐04‐2013","Tratamiento de Trastornos
Gastrointestinales"
"134","CLONAZEPAM","NEURYL COMPRIMIDOS 0,5 mg","F‐17409","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN N° 1220","17‐04‐2013","Ansiedad"
"135","PREDNISONA","BERSEN COMPRIMIDOS 5 mg","F‐11626","LABORATORIO PASTEUR S.A.","RESOLUCIÓN N° 1222","17‐04‐2013","Corticoterapia"
"136","CLONAZEPAM","NEURYL COMPRIMIDOS 2 mg","F‐17410","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN N° 1224","17‐04‐2013","Ansiedad"
"137","PREDNISONA","BERSEN COMPRIMIDOS 20 mg","F‐11625","LABORATORIO PASTEUR S.A.","RESOLUCIÓN N° 1232","17‐04‐2013","Corticoterapia"
"138","CIPROFLOXACINO","CETRAXAL COMPRIMIDOS RECUBIERTOS 500 mg","F‐19908","FAES FARMA CHILE, SALUD Y NUTRICIÓN LTDA.","RESOLUCIÓN N° RW 8884","22‐04‐2013","Antibiótico"
"139","LOSARTÁN","LOSAPRES 100 COMPRIMIDOS RECUBIERTOS 100 mg","F‐13998","PHARMA INVESTI DE CHILE S.A.","RESOLUCIÓN N° 1322","24‐04‐2013","Hipertensión arterial"
"140","CLONAZEPAM","CLONAZEPAM COMPRIMIDOS 2 mg","F‐13247","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 1413","06‐05‐2013","Ansiedad"
"141","CLONAZEPAM","CLONAZEPAM COMPRIMIDOS 0,5 mg","F‐13246","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 1414","06‐05‐2013","Ansiedad"
"142","CLONAZEPAM","CLONAPAM COMPRIMIDOS 2 mg","F‐8374","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 1415","06‐05‐2013","Ansiedad"
"143","CLONAZEPAM","CLONAPAM COMPRIMIDOS 0,5 mg","F‐8373","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 1416","06‐05‐2013","Ansiedad"
"144","ATORVASTATINA","ATORVASTATINA COMPRIMIDOS RECUBIERTOS 20 mg","F‐18552","OPKO CHILE S.A.","RESOLUCIÓN N° 1417","06‐05‐2013","Disminución del colesterol"
"145","DONEPECILO","NEPOKARE COMPRIMIDOS RECUBIERTOS 10 mg","F‐19402","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 1418","06‐05‐2013","Tratamiento de Alzheimer"
"146","CLORFENAMINA","CLORFENAMINA MALEATO COMPRIMIDOS 4 mg","F‐11601","LABORATORIO PASTEUR S.A.","RESOLUCIÓN N° 1535","17‐05‐2013","Antialérgico"
"147","PREDNISONA","PREDNISONA COMPRIMIDOS 20 mg","F‐13016","LABORATORIO PASTEUR S.A.","RESOLUCIÓN N° 1536","17‐05‐2013","Corticoterapia"
"148","METILFENIDATO","RUBIFEN COMPRIMIDOS 10 mg","F‐8290","PHARMAVITA S.A.","RESOLUCIÓN N° 1537","17‐05‐2013","Estimulante sistema nervioso central"
"149","MICOFENOLATO MOFETILO","MICOFENOLATO MOFETILO COMPRIMIDOS RECUBIERTOS
500 mg","F‐19956","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 11137","17‐05‐2013","Trasplante de órganos"
"150","LOSARTÁN","LOSARTÁN POTÁSICO COMPRIMIDOS RECUBIERTOS 50 mg","F‐14315","MINTLAB  CO. S.A.","RESOLUCIÓN N° 1636","28‐05‐2013","Hipertensión arterial"
"151","LOSARTÁN","LOPREN COMPRIMIDOS RECUBIERTOS 50 mg","F‐14316","MINTLAB  CO. S.A.","RESOLUCIÓN N° 1637","28‐05‐2013","Hipertensión arterial"
"152","MICOFENOLATO MOFETILO","PROFIREN 500 COMPRIMIDOS RECUBIERTOS 500 mg","F‐17555","LIBRA CHILE S.A.","RESOLUCIÓN N° 1662","30‐05‐2013","Trasplante de órganos"
"153","KETOPROFENO","KETOPROFENO CÁPSULAS 50 mg","F‐9897","MINTLAB  CO. S.A.","RESOLUCIÓN N° 1718","03‐06‐2013","Analgésico / Antiinflamatorio"
"154","KETOPROFENO","RELATENE CÁPSULAS 50 mg","F‐6931","MINTLAB Co. S.A.","RESOLUCIÓN N° 1719","03‐06‐2013","Analgésico / Antiinflamatorio"
"155","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg","F‐19794","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 1720","03‐06‐2013","Analgésico / Antiinflamatorio"
"156","LEVOFLOXACINO","LEVOXIN COMPRIMIDOS RECUBIERTOS 500 mg","F‐19998","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 12322","04‐06‐2013","Antibiótico"
"157","CLONAZEPAM","NEURYL COMPRIMIDOS 2 mg","F‐20004","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN RW N° 12334","04‐06‐2013","Ansiedad"
"158","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg","F‐20013","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 12763","10‐06‐2013","Analgésico / Antiinflamatorio"
"159","IBUPROFENO","DEUCODOL COMPRIMIDOS RECUBIERTOS 600 mg","F‐20011","MEDIPHARM LTDA.","RESOLUCIÓN RW N° 12772","10‐06‐2013","Analgésico / Antiinflamatorio"
"160","QUETIAPINA","QUETKARE COMPRIMIDOS RECUBIERTOS 100 mg.","F‐18294","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 1880","12‐06‐2013","Trastornos mentales"
"161","QUETIAPINA","QUETKARE COMPRIMIDOS RECUBIERTOS 200 mg","F‐18295","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 1881","12‐06‐2013","Trastornos mentales"
"162","CICLOSPORINA","SIGMASPORIN MICRORAL CÁPSULAS BLANDAS 25 mg","F‐15787","LIBRA CHILE S.A.","RESOLUCIÓN N° 1961","19‐06‐2013","Trasplante de órganos"
"163","CICLOSPORINA","SIGMASPORIN MICRORAL CÁPSULAS BLANDAS 50 mg","F‐15788","LIBRA CHILE S.A.","RESOLUCIÓN N° 1962","19‐06‐2013","Trasplante de órganos"
"164","CLONAZEPAM","CLONAZEPAM COMPRIMIDOS 0.5 mg","F‐15579","INTERPHARMA S.A.","RESOLUCIÓN N° 1963","19‐06‐2013","Ansiedad"
"165","CLONAZEPAM","CLONAZEPAM COMPRIMIDOS 2 mg","F‐15580","INTERPHARMA S.A.","RESOLUCIÓN N° 1964","19‐06‐2013","Ansiedad"
"166","LOSARTÁN","LOSARTÁN POTÁSICO COMPRIMIDOS RECUBIERTOS 50 mg","F‐18420","OPKO CHILE S.A.","RESOLUCIÓN N° 1983","20‐06‐2013","Hipertensión arterial"
"167","IBUPROFENO","DEUCODOL COMPRIMIDOS RECUBIERTOS 400 mg","F‐20046","MEDIPHARM LTDA.","RESOLUCIÓN RW N° 13493","20‐06‐2013","Analgésico / Antiinflamatorio"
"168","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg","F‐20047","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 13509","20‐06‐2013","Analgésico / Antiinflamatorio"
"169","METFORMINA CLORHIDRATO","OXEMET COMPRIMIDOS RECUBIERTOS 850 mg","F‐20074","GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.","RESOLUCIÓN RW N° 13955","26‐06‐2013","Tratamiento de Diabetes Mellitus"
"170","METFORMINA CLORHIDRATO","OXEMET COMPRIMIDOS RECUBIERTOS 500 mg","F‐20075","GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.","RESOLUCIÓN RW N° 13957","26‐06‐2013","Tratamiento de Diabetes Mellitus"
"171","ATORVASTATINA","ATORVASTATINA COMPRIMIDOS RECUBIERTOS 10 mg","F‐18459","OPKO CHILE S.A.","RESOLUCIÓN N° 2055","27‐06‐2013","Disminución del colesterol"
"172","ROSUVASTATINA","ROSIMOL COMPRIMIDOS RECUBIERTOS 10 mg","F‐18758","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 2066","01‐07‐2013","Disminución del colesterol"
"173","ROSUVASTATINA","ROSIMOL COMPRIMIDOS RECUBIERTOS 20 mg","F‐19116","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 2067","01‐07‐2013","Disminución del colesterol"
"174","EXEMESTANO","EXEMESTANO COMPRIMIDOS RECUBIERTOS 25 mg","F‐19030","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 2068","01‐07‐2013","Cáncer de mama"
"175","LOSARTÁN","LOSARTÁN POTÁSICO COMPRIMIDOS RECUBIERTOS 50 mg","F‐13738","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 2121","02‐07‐2013","Hipertensión arterial"
"176","LOSARTÁN","SIMPERTEN COMPRIMIDOS RECUBIERTOS 50 mg","F‐8493","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 2122","02‐07‐2013","Hipertensión arterial"
"177","OLANZAPINA","ANZAP COMPRIMIDOS RECUBIERTOS 10 mg","F‐20065","ASCEND LABORATORIES SpA","RESOLUCIÓN N° 2129","05‐07‐2013","Tratamiento de esquizofrenia"
"178","METFORMINA CLORHIDRATO","METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg","F‐20110","ASCEND LABORATORIES SpA","RESOLUCIÓN RW  N° 14739","09‐07‐2013","Tratamiento de Diabetes Mellitus"
"179","MICOFENOLATO MOFETILO","INMUFEN CÁPSULAS 250 mg","F‐20109","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 14745","09‐07‐2013","Trasplante de órganos"
"180","MICOFENOLATO MOFETILO","MICOFENOLATO MOFETILO COMPRIMIDOS RECUBIERTOS
500 mg","F‐20114","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 14921","11‐07‐2013","Trasplante de órganos"
"181","MICOFENOLATO MOFETILO","MICOFENOLATO MOFETILO CÁPSULAS 250 mg","F‐20137","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 15299","18‐07‐2013","Trasplante de órganos"
"182","LOSARTÁN","LOSARTÁN POTÁSICO COMPRIMIDOS RECUBIERTOS 100 mg","F‐17498","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 2313","19‐07‐2013","Hipertensión arterial"
"183","LOSARTÁN","SIMPERTEN COMPRIMIDOS RECUBIERTOS 100 mg","F‐16092","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 2314","19‐07‐2013","Hipertensión arterial"
"184","VALSARTÁN","VERALPRES COMPRIMIDOS RECUBIERTOS 160 mg","F‐20147","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 15538","22‐07‐2013","Hipertensión arterial"
"185","IBUPROFENO","IBU‐6 COMPRIMIDOS RECUBIERTOS 600 mg","F‐20148","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 15559","22‐07‐2013","Analgésico / Antiinflamatorio"
"186","CIPROFLOXACINO","CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg","F‐9877","MINTLAB  CO. S.A.","RESOLUCIÓN N° 9877","25‐07‐2013","Antibiótico"
"187","OLANZAPINA","ANZAP COMPRIMIDOS RECUBIERTOS 5 mg","F‐20066","ASCEND LABORATORIES SpA","RESOLUCIÓN  N° 2428","01‐08‐2013","Tratamiento de esquizofrenia"
"188","LOSARTÁN","LOSARTÁN POTÁSICO COMPRIMIDOS RECUBIERTOS 50 mg","F‐20177","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 16338","01‐08‐2013","Hipertensión arterial"
"189","VENLAFAXINA","VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg","F‐20178","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 16598","05‐08‐2013","Antidepresivo"
"190","VENLAFAXINA","VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 75 mg","F‐20180","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 16601","05‐08‐2013","Antidepresivo"
"191","VENLAFAXINA","VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg","F‐20179","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 16605","05‐08‐2013","Antidepresivo"
"192","QUETIAPINA","QUETIUM COMPRIMIDOS RECUBIERTOS 25 mg","F‐20198","LABORATORIOS SAVAL S.A.","RESOLUCIÓN RW N° 16835","07‐08‐2013","Trastornos mentales"
"193","METFORMINA CLORHIDRATO","OXEMET COMPRIMIDOS RECUBIERTOS 1000 mg","F‐19860","GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.","RESOLUCIÓN N° 2554","13‐08‐2013","Tratamiento de Diabetes Mellitus"
"194","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg","F‐19797","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 2578","13‐08‐2013","Analgésico / Antiinflamatorio"
"195","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 200 mg","F‐19796","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 2579","13‐08‐2013","Analgésico / Antiinflamatorio"
"196","VENLAFAXINA","VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 37,5 mg","F‐20216","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 17235","13‐08‐2013","Antidepresivo"
"197","VENLAFAXINA","VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 37,5mg","F‐20217","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 17236","13‐08‐2013","Antidepresivo"
"198","VENLAFAXINA","VENCONTROL CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 75 mg","F‐20218","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 17240","13‐08‐2013","Antidepresivo"
"199","IBUPROFENO","IBU‐2 COMPRIMIDOS RECUBIERTOS 200 mg","F‐20227","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 17431","14‐08‐2013","Analgésico / Antiinflamatorio"
"200","CEFUROXIMA","FAVANEX COMPRIMIDOS RECUBIERTOS 500 mg","F‐20237","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 17684","20‐08‐2013","Antibiótico"
"201","CETIRIZINA","CETIRIZINA DICLORHIDRATO COMPRIMIDOS RECUBIERTOS
10 mg","F‐10073","MINTLAB  CO. S.A.","RESOLUCIÓN N° 2831","21‐08‐2013","Antialérgico"
"202","CETIRIZINA","COOLIPS COMPRIMIDOS RECUBIERTOS 10 mg","F‐10074","MINTLAB  CO. S.A.","RESOLUCIÓN N° 2832","21‐08‐2013","Antialérgico"
"203","CLONAZEPAM","BEJOWA COMPRIMIDOS 0,5 mg","F‐20240","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 18098","26‐08‐2013","Ansiedad"
"204","CLONAZEPAM","BEJOWA COMPRIMIDOS 2 mg","F‐20239","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 18099","26‐08‐2013","Ansiedad"
"205","CLONAZEPAM","BEJOWA COMPRIMIDOS 0,5 mg","F‐20241","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 18150","26‐08‐2013","Ansiedad"
"206","CLONAZEPAM","BEJOWA COMPRIMIDOS 2 mg","F‐20242","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 18152","26‐08‐2013","Ansiedad"
"207","CARVEDILOL","CILOKARE COMPRIMIDOS RECUBIERTOS 25 mg","F‐18684","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 2883","28‐08‐2013","Hipertensión arterial ‐ insuficiencia cardíaca"
"208","PRAMIPEXOL","MUVEND COMPRIMIDOS 1,0 mg","F‐17686","SYNTHON  CHILE LTDA.","RESOLUCIÓN N° 2884","28‐08‐2013","Tratamiento de Parkinson"
"209","QUETIAPINA","QUETIUM COMPRIMIDOS RECUBIERTOS 100 mg","F‐20257","LABORATORIOS SAVAL S.A.","RESOLUCIÓN RW N° 18409","29‐08‐2013","Trastornos mentales"
"210","QUETIAPINA","QUETIUM COMPRIMIDOS RECUBIERTOS 200 mg","F‐20256","LABORATORIOS SAVAL S.A.","RESOLUCIÓN RW N° 18413","29‐08‐2013","Trastornos mentales"
"211","QUETIAPINA","QUETIUM COMPRIMIDOS RECUBIERTOS 300 mg","F‐20255","LABORATORIOS SAVAL S.A.","RESOLUCIÓN RW N° 18423","29‐08‐2013","Trastornos mentales"
"212","DONEPECILO","IDECLAR COMPRIMIDOS RECUBIERTOS 10 mg","F‐19332","SYNTHON  CHILE LTDA.","RESOLUCIÓN N° 2935","30‐08‐2013","Tratamiento de Alzheimer"
"213","ESCITALOPRAM","TRESUS COMPRIMIDOS RECUBIERTOS 20 mg","F‐19103","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 2973","02‐09‐2013","Antidepresivo"
"214","VENLAFAXINA","AXONE CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg","F‐20071","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN N° 2974","02‐09‐2013","Antidepresivo"
"215","LEVETIRACETAM","PREBB COMPRIMIDOS RECUBIERTOS 1000 mg","F‐19377","SYNTHON  CHILE LTDA.","RESOLUCIÓN N° 2975","02‐09‐2013","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"216","GLIBENCLAMIDA","GLIBENCLAMIDA COMPRIMIDOS 5 mg","F‐9896","MINTLAB  CO. S.A.","RESOLUCIÓN N° 3008","05‐09‐2013","Tratamiento de Diabetes Mellitus"
"217","ACENOCUMAROL","ACEBRON COMPRIMIDOS 4 mg","F‐16094","LABORATORIOS RECALCINE S.A.","RESOLUCIÓN N° 3009","05‐09‐2013","Anticoagulante"
"218","CARVEDILOL","CARVEDILOL COMPRIMIDOS 25 mg","F‐18528","OPKO CHILE S.A.","RESOLUCIÓN N° 3023","06‐09‐2013","Hipertensión arterial ‐ insuficiencia cardíaca"
"219","FLUOXETINA","ACTAN CÁPSULAS 20 mg","F‐5446","EUROLAB LTDA.","RESOLUCIÓN N° 3024","06‐09‐2013","Antidepresivo"
"220","KETOPROFENO","KEPRODOL CÁPSULAS 50 mg","F‐15298","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 3074","11‐09‐2013","Analgésico / Antiinflamatorio"
"221","ESCITALOPRAM","TRESUS COMPRIMIDOS RECUBIERTOS 10 mg","F‐19102","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 3075","11‐09‐2013","Antidepresivo"
"222","KETOPROFENO","KETOPROFENO CÁPSULAS 50 mg","F‐14024","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 3076","11‐09‐2013","Analgésico / Antiinflamatorio"
"223","LOSARTÁN","LOSARTÁN POTÁSICO COMPRIMIDOS RECUBIERTOS 50 mg","F‐8741","CHEMOPHARMA  S.A.","RESOLUCIÓN N° 3124","11‐09‐2013","Hipertensión arterial"
"224","DONEPECILO","IDECLAR COMPRIMIDOS RECUBIERTOS 5 mg","F‐19331","SYNTHON  CHILE LTDA.","RESOLUCIÓN N° 3125","11‐09‐2013","Tratamiento de Alzheimer"
"225","METFORMINA CLORHIDRATO","GLAUPAX 500 COMPRIMIDOS RECUBIERTOS 500 mg","F‐16926","LABORATORIO PASTEUR S.A.","RESOLUCIÓN N° 3126","11‐09‐2013","Tratamiento de Diabetes Mellitus"
"226","ISOTRETINOÍNA","ORALNE CÁPSULAS BLANDAS 20 mg","F‐19579","DEUTSCHE PHARMA S.A.","RESOLUCIÓN N° 3127","11‐09‐2013","Tratamiento de Acné"
"227","LOSARTÁN","SANIPRESIN COMPRIMIDOS RECUBIERTOS 50 mg","F‐9043","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 3128","11‐09‐2013","Hipertensión arterial"
"228","PREGABALINA","PREGASTAR CÁPSULAS  75 mg","F‐19710","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 3129","11‐09‐2013","Antiepiléptico ‐ Dolores neurálgicos"
"229","PREGABALINA","PREGASTAR CÁPSULAS 150 mg","F‐19711","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 3130","11‐09‐2013","Antiepiléptico ‐ Dolores neurálgicos"
"230","PREGABALINA","PREGASTAR CÁPSULAS 300 mg","F‐19709","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 3131","11‐09‐2013","Antiepiléptico ‐ Dolores neurálgicos"
"231","METFORMINA CLORHIDRATO","GLAUPAX 850 COMPRIMIDOS RECUBIERTOS 850 mg","F‐16925","LABORATORIO PASTEUR S.A.","RESOLUCIÓN N° 3132","11‐09‐2013","Tratamiento de Diabetes Mellitus"
"232","AMLODIPINO","AMPINO COMPRIMIDOS 10 mg","F‐20379","LABORATORIOS SAVAL S.A.","RESOLUCIÓN RW N° 19817","16‐09‐2013","Hipertensión arterial ‐ Angina de pecho"
"233","AMLODIPINO","AMPINO COMPRIMIDOS 5 mg","F‐20381","LABORATORIOS SAVAL S.A.","RESOLUCIÓN RW N° 19818","16‐09‐2013","Hipertensión arterial ‐ Angina de pecho"
"234","METFORMINA CLORHIDRATO","FINTAXIM COMPRIMIDOS RECUBIERTOS 850 mg","F‐9741","LABORATORIO MAVER S.A.","RESOLUCIÓN N° 3185","17‐09‐2013","Tratamiento de Diabetes Mellitus"
"235","LEVOTIROXINA","T4 ‐ BAGÓ COMPRIMIDOS 50 mcg","F‐13669","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN N° 3230","25‐09‐2013","Tratamiento de Hipotiroidismo"
"236","LEVOTIROXINA","T4 ‐ BAGÓ COMPRIMIDOS 75 mcg","F‐17329","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN N° 3231","25‐09‐2013","Tratamiento de Hipotiroidismo"
"237","LEVOTIROXINA","T4 ‐ BAGÓ COMPRIMIDOS 100 mcg","F‐12799","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN N° 3232","25‐09‐2013","Tratamiento de Hipotiroidismo"
"238","CEFADROXILO","CEFADROXILO CÁPSULAS 500 mg","F‐6518","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 3246","26‐09‐2013","Antibiótico"
"239","CITALOPRAM","CITTA COMPRIMIDOS RECUBIERTOS 20 mg","F‐19655","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN N° 3247","26‐09‐2013","Antidepresivo"
"240","DESLORATADINA","NEO‐ALLEDRYL COMPRIMIDOS RECUBIERTOS 5 mg","F‐16473","LABORATORIOS PRATER S.A.","RESOLUCIÓN N° 3248","26‐09‐2013","Antialérgico"
"241","CIPROFLOXACINO","CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg","F‐18221","LABORATORIOS  EUROMED CHILE S.A.","RESOLUCIÓN N° 3249","26‐09‐2013","Antibiótico"
"242","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 200 mg","F‐20393","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 20278","26‐09‐2013","Analgésico / Antiinflamatorio"
"243","QUETIAPINA","QUETIUM XR COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 50 mg","F‐20387","LABORATORIOS SAVAL S.A.","RESOLUCIÓN RW N° 20285","26‐09‐2013","Trastornos mentales"
"244","QUETIAPINA","QUETIUM XR COMPRIMIDOS RECUBRIMIENTO DE LIBERACIÓN PROLONGADA 200 mg","F‐20389","LABORATORIOS SAVAL S.A.","RESOLUCIÓN RW N° 20287","26‐09‐2013","Trastornos mentales"
"245","MICOFENOLATO MOFETILO","MICOFENOLATO MOFETILO CÁPSULAS 250 mg","F‐20388","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 20288","26‐09‐2013","Trasplante de órganos"
"246","QUETIAPINA","QUETIUM XR COMPRIMIDOS DE LIBERACIÓN PROLONGADA
400 mg","F‐20391","LABORATORIOS SAVAL S.A.","RESOLUCIÓN RW N° 20301","26‐09‐2013","Trastornos mentales"
"247","QUETIAPINA","QUETIUM XR COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 300 mg","F‐20390","LABORATORIOS SAVAL S.A.","RESOLUCIÓN RW N° 20307","26‐09‐2013","Trastornos mentales"
"248","IBUPROFENO","IBU‐4 COMPRIMIDOS RECUBIERTOS 400 mg","F‐20401","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 20322","26‐09‐2013","Analgésico / Antiinflamatorio"
"249","CARVEDILOL","CARVEDILOL COMPRIMIDOS 25 mg","F‐20386","MEDINOVA FARMA LTDA.","RESOLUCIÓN RW N° 20347","26‐09‐2013","Hipertensión arterial ‐ insuficiencia cardíaca"
"250","CARVEDILOL","CILOKARE COMPRIMIDOS RECUBIERTOS 12,5 mg","F‐18683","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 3417","09‐10‐2013","Hipertensión arterial ‐ insuficiencia cardíaca"
"251","METFORMINA CLORHIDRATO","ANDIBET  COMPRIMIDOS RECUBIERTOS 500 mg","F‐20476","CHEMOPHARMA S.A.","RESOLUCIÓN N° 22409","22‐10‐2013","Tratamiento de Diabetes Mellitus"
"252","LOSARTÁN","SANIPRESIN FORTE COMPRIMIDOS RECUBIERTOS 100 mg","F‐20483","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 22618","24‐10‐2013","Hipertensión arterial"
"253","VENLAFAXINA","SUBELAN XR CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 150 mg","F‐20484","PHARMAVITA S.A.","RESOLUCIÓN N° 22624","24‐10‐2013","Antidepresivo"
"254","VENLAFAXINA","SUBELAN XR CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 75 mg","F‐20485","PHARMAVITA S.A.","RESOLUCIÓN N° 22631","24‐10‐2013","Antidepresivo"
"255","ATORVASTATINA","LIPOTEN COMPRIMIDOS RECUBIERTOS 80 mg","F‐20489","PHARMAVITA S.A.","RESOLUCIÓN N° 22657","25‐10‐2013","Disminución del colesterol"
"256","ATORVASTATINA","LIPOTEN COMPRIMIDOS RECUBIERTOS 40 mg","F‐20490","PHARMAVITA S.A.","RESOLUCIÓN N° 22659","25‐10‐2013","Disminución del colesterol"
"257","ATORVASTATINA","LIPOTEN COMPRIMIDOS RECUBIERTOS 20 mg","F‐20491","PHARMAVITA S.A.","RESOLUCIÓN N° 22660","25‐10‐2013","Disminución del colesterol"
"258","ATORVASTATINA","LIPOTEN COMPRIMIDOS RECUBIERTOS 10 mg","F‐20492","PHARMAVITA S.A.","RESOLUCIÓN N° 22661","25‐10‐2013","Disminución del colesterol"
"259","TACROLIMÚS","TACROLIMUS CÁPSULAS 5 mg","F‐20487","OPKO CHILE S.A.","RESOLUCIÓN N° 22662","25‐10‐2013","Trasplante de órganos"
