,,"      Listado de productos Bioequivalentes, actualizado al 29 de Febrero de 2016                             ",,,,,
143,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,"CLONAZEPAM COMPRIMIDOS 0,5 mg",F-13556,MINTLAB  CO. S.A.
144,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,"BEJOWA COMPRIMIDOS 0,5 mg",F-20240,SANOFI-AVENTIS DE CHILE S.A.
145,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,BEJOWA COMPRIMIDOS 2 mg,F-20239,SANOFI-AVENTIS DE CHILE S.A.
146,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,"BEJOWA COMPRIMIDOS 0,5 mg",F-20241,SANOFI-AVENTIS DE CHILE S.A.
147,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,BEJOWA COMPRIMIDOS 2 mg,F-20242,SANOFI-AVENTIS DE CHILE S.A.
148,Ansiedad,DIAZEPAM,Valium,Roche ,DIAZEPAM COMPRIMIDOS 10 mg,F-3920,LABORATORIO CHILE S.A
149,Ansiedad,DIAZEPAM,Valium,Roche ,DIAZEPAM COMPRIMIDOS 10 mg,F-3374,MINTLAB  CO. S.A.
150,Ansiedad,LORAZEPAM,Amparax,Wyeth,LORAZEPAM COMPRIMIDOS 2 mg,F-3983,LABORATORIO CHILE S.A.
151,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis ,Clopidogrel comprimidos recubiertos 300 mg,F-21739,ASCEND LABORATORIES SpA
152,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis ,LYVELSA COMPRIMIDOS RECUBIERTOS 75 mg (CLOPIDOGREL),F-21565,BAYER S.A.
153,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis ,PICLOKARE COMPRIMIDOS RECUBIERTOS 75 mg,F-17986,ETEX FARMACÉUTICA LTDA.
154,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis , CLOPIVITAE COMPRIMIDOS RECUBIERTOS 75mg,F-22129,GALENICUM HEALTH CHILE S.p.A.
155,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis ,CLOTROMBIX COMPRIMIDOS RECUBIERTOS 75 mg,F-19113,NOVARTIS CHILE S.A.
156,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis ,CLENTEL COMPRIMIDOS RECUBIERTOS 75 mg,F-15481,PHARMA INVESTI DE CHILE S.A.
157,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis ,ISKIMIL COMPRIMIDOS RECUBIERTOS 75 mg,F-22351,PHARMA INVESTI DE CHILE S.A.
158,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis ,FLUYET COMPRIMIDOS RECUBIERTOS 75 mg,F-20812,PHARMAVITA S.A.
159,Antiagregante plaquetario / Vasodilatador,CILOSTAZOL,Pletaal,Johnson & Johnson ,CILOSVITAE COMPRIMIDOS 100 mg,F-21312,GALENICUM HEALTH CHILE S.p.A.
160,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline ,REMITEX COMPRIMIDOS RECUBIERTOS 10 mg,F-9692,LABORATORIO BAGÓ DE CHILE S.A.
161,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline ,ALERTOP COMPRIMIDOS RECUBIERTOS 10 mg,F-7193,LABORATORIO CHILE S.A.
162,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline ,CETIRIZINA DICLORHIDRATO COMPRIMIDOS RECUBIERTOS 10 mg,F-13749,LABORATORIO CHILE S.A.
163,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline ,FINDALER COMPRIMIDOS RECUBIERTOS 10 mg (Cetirizina),F-21819,MEDIPHARM LTDA.
164,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline ,CETIRIZINA DICLORHIDRATO COMPRIMIDOS RECUBIERTOS 10 mg,F-10073,MINTLAB  CO. S.A.
165,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline ,COOLIPS COMPRIMIDOS RECUBIERTOS 10 mg,F-10074,MINTLAB  CO. S.A.
166,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline ,SIXACINA COMPRIMIDOS RECUBIERTOS 10 mg,F-15667,SYNTHON  CHILE LTDA.
167,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline ,CETIRIZINA DICLORHIDRATO COMPRIMIDOS RECUBIERTOS 10 mg,F-7212,SYNTHON CHILE LTDA.
168,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough ,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-3901,LABORATORIO CHILE S.A.
169,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough ,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-2310,LABORATORIO MAVER S.A.
170,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough ,PRODEL COMPRIMIDOS 4 mg,F-1209,LABORATORIO PASTEUR S.A.
171,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough ,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-11601,LABORATORIO PASTEUR S.A.
172,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough ,HISTAFED COMPRIMIDOS 4 mg,F-15502,LABORATORIOS  MDK S.A.
173,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough ,CLORFENAMINA MALEATO COMPRIMIDOS RECUBIERTOS 4 mg,F-14519,LABORATORIOS ANDRÓMACO S.A.
174,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough ,SCADAN COMPRIMIDOS 4 mg,F-7764,MEDIPHARM LTDA.
175,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough ,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-6877,MINTLAB  CO. S.A.
176,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough ,NIPOLEN COMPRIMIDOS 4 mg,F-13441,MINTLAB  CO. S.A.
177,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough ,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-9495,SYNTHON CHILE LTDA.
178,Antialérgico,DESLORATADINA,Aerius,Schering Plough ,D-HISTAPLUS ,F-15444,LABORATORIO PASTEUR S.A.
179,Antialérgico,DESLORATADINA,Aerius,Schering Plough ,NEOLARMAX COMPRIMIDOS RECUBIERTOS 5 mg,F-14617,LABORATORIOS ANDRÓMACO S.A.
180,Antialérgico,DESLORATADINA,Aerius,Schering Plough ,NEO-ALLEDRYL COMPRIMIDOS RECUBIERTOS 5 mg,F-16473,LABORATORIOS PRATER S.A.
181,Antialérgico,DESLORATADINA,Aerius,Schering Plough ,NEOCLARITINE COMPRIMIDOS RECUBIERTOS 5 mg,F-7110,MERCK SHARP & DOHME CHILE LTDA.
182,Antialérgico,DESLORATADINA,Aerius,Schering Plough ,NEOHYSTICLAR COMPRIMIDOS RECUBIERTOS 5 mg,F-14378,MINTLAB  CO. S.A.
183,Antialérgico,DESLORATADINA,Aerius,Schering Plough ,DESLORATADINA COMPRIMIDOS RECUBIERTOS 5 mg,F-14377,MINTLAB Co. S.A.
184,Antialérgico,DESLORATADINA,Aerius,Schering Plough ,MAILEN COMPRIMIDOS RECUBIERTOS 5 mg,F-14575,PHARMA INVESTI DE CHILE S.A.
185,Antialérgico,FEXOFENADINA,Allegra,Sanofi-Aventis ,FENAX COMPRIMIDOS RECUBIERTOS 120 mg,F-22333,LABORATORIOS ANDRÓMACO S.A.
186,Antialérgico,FEXOFENADINA,Allegra,Sanofi-Aventis ,FENAX COMPRIMIDOS RECUBIERTOS 180 mg,F-22334,LABORATORIOS ANDRÓMACO S.A.
187,Antialérgico,FEXOFENADINA,Allegra,Sanofi-Aventis ,ALEXIA COMPRIMIDOS RECUBIERTOS 120 mg,F-2106,LABORATORIOS SAVAL S.A.
188,Antialérgico,FEXOFENADINA,Allegra,Sanofi-Aventis ,ALEXIA FORTE COMPRIMIDOS RECUBIERTOS 180 mg,F-13779,LABORATORIOS SAVAL S.A.
189,Antialérgico,LEVOCETIRIZINA,Xuzal ,Glaxosmithkline ,DEGRALER COMPRIMIDOS RECUBIERTOS 5 mg,F-14173,LABORATORIO BAGÓ DE CHILE S.A.
190,Antialérgico,LEVOCETIRIZINA,Xuzal ,Glaxosmithkline ,LEVORIGOTAX COMPRIMIDOS RECUBIERTOS 5 mg,F-18332,LABORATORIOS PRATER S.A.
191,Antialérgico,LEVOCETIRIZINA,Xuzal ,Glaxosmithkline ,ZIVAL COMPRIMIDOS RECUBIERTOS 5 mg,F-16944,LABORATORIOS SAVAL S.A.
192,Antialérgico,LORATADINA,Clarityne,Merck Sharp & Dohme ,LORATADINA COMPRIMIDOS 10 mg,F-8455,LABORATORIO CHILE S.A.
193,Antialérgico,LORATADINA,Clarityne,Merck Sharp & Dohme ,FRENALER COMPRIMIDOS 10 mg,F-3940,LABORATORIO CHILE S.A.
194,Antialérgico,LORATADINA,Clarityne,Merck Sharp & Dohme ,LORATADINA COMPRIMIDOS 10 mg,F-16767,OPKO CHILE S.A.
195,Antialérgico - Antiasmático,MONTELUKAST,Singulair,Merck Sharp & Dohme ,LUCASTE COMPRIMIDOS MASTICABLES 5 mg,F-20589,LABORATORIOS EUROMED CHILE S.A.
196,Antialérgico - Antiasmático,MONTELUKAST,Singulair,Merck Sharp & Dohme ,LUCASTE COMPRIMIDOS MASTICABLES  4 mg,F-20588,LABORATORIOS EUROMED CHILE S.A.
197,Antialérgico - Antiasmático,MONTELUKAST,Singulair,Merck Sharp & Dohme ,BRONDILAT COMPRIMIDOS RECUBIERTOS 10 mg,F-13368,LABORATORIOS RECALCINE S.A.
198,Antialérgico - Antiasmático,MONTELUKAST,Singulair,Merck Sharp & Dohme ,LUKANEX COMPRIMIDOS RECUBIERTOS 10 mg,F-16852,LABORATORIOS SAVAL S.A.
199,Antialérgico - Antiasmático,MONTELUKAST,Singulair,Merck Sharp & Dohme ,MONTELUKAST COMPRIMIDOS RECUBIERTOS 10 mg,F-22140,NOVARTIS CHILE S.A.
200,Antiarrítmico,DIGOXINA,Digoxina,Laboratorio Chile,"DIGOXINA COMPRIMIDOS 0,25 mg",F-8247,SYNTHON CHILE LTDA.
201,Antibiótico,AMOXICILINA,Amoxil BD,Glaxosmithkline ,AMOXICILINA COMPRIMIDOS RECUBIERTOS 875 mg,F-21138,LABORATORIOS  EUROMED CHILE S.A.
202,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline ,AMOXICILINA/ACIDO CLAVULANICO 875/125 COMPRIMIDOS RECUBIERTOS ,F-20795,ASCEND LABORATORIES SpA
203,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline ,AMOXICILINA/ACIDO CLAVULANICO 875/125 COMPRIMIDOS RECUBIERTOS,F-21230,ASCEND LABORATORIES SpA
204,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline ,MAXIMOX 875/125 COMPRIMIDOS RECUBIERTOS,F-14065,LABORATORIO PASTEUR S.A.
205,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline ,AMOLEX DUO 875/125 COMPRIMIDOS RECUBIERTOS,F-19777,LABORATORIOS ANDRÓMACO S.A.
206,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline ,AMOXICILINA / ÁCIDO CLAVULÁNICO 875/125 COMPRIMIDOS RECUBIERTOS,F-19776,LABORATORIOS ANDRÓMACO S.A.
207,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline ,CLAVAM DUO  875/125 COMPRIMIDOS RECUBIERTOS,F-19292,LABORATORIOS EUROMED CHILE S.A.
208,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline ,CLAVOXILINA BID 875/125 COMPRIMIDOS RECUBIERTOS,F-10054,LABORATORIOS LAFI LTDA.
209,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline ,CLAVINEX DUO 875/125 COMPRIMIDOS RECUBIERTOS,F-12676,LABORATORIOS SAVAL S.A.
210,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline ,AMOXICILINA + ÁCIDO CLAVULÁNICO 500/125 COMPRIMIDOS RECUBIERTOS ,F-18286,OPKO CHILE S.A.
211,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline ,AMOXICILINA/ÁCIDO CLAVULÁNICO 875/125 COMPRIMIDOS RECUBIERTOS,F-22321,OPKO CHILE S.A.
212,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline ,ZOLIMAX DUO 875/125 COMPRIMIDOS RECUBIERTOS,F-22473,OPKO CHILE S.A.
213,Antibiótico,AZITROMICINA,Zithromax,Pfizer ,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-21866,ASCEND LABORATORIES SpA
214,Antibiótico,AZITROMICINA,Zithromax,Pfizer ,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-22082,BLUEPHARMA CHILE S.P.A.
215,Antibiótico,AZITROMICINA,Zithromax,Pfizer ,AZITROM COMPRIMIDOS RECUBIERTOS 500 mg,F-8337,LABORATORIO CHILE S.A.
216,Antibiótico,AZITROMICINA,Zithromax,Pfizer ,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-4270,LABORATORIO CHILE S.A.
217,Antibiótico,AZITROMICINA,Zithromax,Pfizer ,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-19316,LABORATORIOS ANDRÓMACO S.A.
218,Antibiótico,AZITROMICINA,Zithromax,Pfizer ,ABACTEN COMPRIMIDOS RECUBIERTOS 500 mg,F-11176,LABORATORIOS ANDRÓMACO S.A.
219,Antibiótico,AZITROMICINA,Zithromax,Pfizer ,TREX COMPRIMIDOS RECUBIERTOS 500 mg,F-9808,LABORATORIOS SAVAL S.A.
220,Antibiótico,AZITROMICINA,Zithromax,Pfizer ,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-14422,MINTLAB Co. S.A.
221,Antibiótico,AZITROMICINA,Zithromax,Pfizer ,ESCOVERANCE COMPRIMIDOS RECUBIERTOS 500 mg,F-20532,SANOFI-AVENTIS DE CHILE S.A.
222,Antibiótico,CEFADROXILO,Cefamox ,Bristol Myers Squibb,ADROXEF CÁPSULAS 500 mg,F-21104,LABORATORIO CHILE S.A.
223,Antibiótico,CEFADROXILO,Cefamox ,Bristol Myers Squibb,CEFADROXILO CÁPSULAS 500 mg,F-6518,LABORATORIOS ANDRÓMACO S.A.
224,Antibiótico,CEFADROXILO,Cefamox ,Bristol Myers Squibb,CEFADROXILO CÁPSULAS 500 mg,F-6874,MINTLAB Co. S.A.
225,Antibiótico,CEFALEXINA,Keflex,Flynn Pharma,CEFALEXINA CÁPSULAS 500 mg,F-20229,ASCEND LABORATORIES SpA
226,Antibiótico,CEFALEXINA,Keflex,Flynn Pharma,CEFALEXINA CÁPSULAS 250 mg,F-20232,ASCEND LABORATORIES SpA
227,Antibiótico,CEFUROXIMA,Curocef,Glaxosmithkline ,FAVANEX COMPRIMIDOS RECUBIERTOS 500 mg,F-20237,ASCEND LABORATORIES SpA
228,Antibiótico,CEFUROXIMA,Curocef,Glaxosmithkline ,CEFUROXIMA COMPRIMIDOS RECUBIERTOS 500 mg,F-21410,ASCEND LABORATORIES SpA
229,Antibiótico,CEFUROXIMA,Curocef,Glaxosmithkline ,CEREVAX COMPRIMIDOS RECUBIERTOS 500 mg,F-15430,LABORATORIOS RECALCINE S.A.
230,Antibiótico,CIPROFLOXACINO,Baycip,Bayer ,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-20718,ASCEND LABORATORIES SpA
231,Antibiótico,CIPROFLOXACINO,Baycip,Bayer ,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-21552,ASCEND LABORATORIES SpA
232,Antibiótico,CIPROFLOXACINO,Baycip,Bayer ,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-8722,CHEMOPHARMA  S.A.
233,Antibiótico,CIPROFLOXACINO,Baycip,Bayer ,CETRAXAL COMPRIMIDOS RECUBIERTOS 500 mg ,F-19908,"FAES FARMA CHILE, SALUD Y NUTRICIÓN LTDA."
234,Antibiótico,CIPROFLOXACINO,Baycip,Bayer ,TIGINA COMPRIMIDOS RECUBIERTOS 500 mg,F-18455,INTERPHARMA S.A.
235,Antibiótico,CIPROFLOXACINO,Baycip,Bayer ,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-21270,INTERPHARMA S.A.
236,Antibiótico,CIPROFLOXACINO,Baycip,Bayer ,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-8360,LABORATORIO CHILE S.A.
237,Antibiótico,CIPROFLOXACINO,Baycip,Bayer ,GRIFOCIPROX COMPRIMIDOS RECUBIERTOS 500 mg,F-8425,LABORATORIO CHILE S.A.
238,Antibiótico,CIPROFLOXACINO,Baycip,Bayer ,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS  500 mg,F-18221,LABORATORIOS  EUROMED CHILE S.A.
239,Antibiótico,CIPROFLOXACINO,Baycip,Bayer ,CIPROVAL COMPRIMIDOS RECUBIERTOS 500 mg,F-5523,LABORATORIOS SAVAL S.A.
240,Antibiótico,CIPROFLOXACINO,Baycip,Bayer ,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-9877,MINTLAB  CO. S.A.
241,Antibiótico,CIPROFLOXACINO,Baycip,Bayer ,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-14779,OPKO CHILE S.A.
242,Antibiótico,CIPROFLOXACINO,Baycip,Bayer ,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-20908,OPKO CHILE S.A.
243,Antibiótico,CIPROFLOXACINO,Baycip,Bayer ,CIRIAX 500 COMPRIMIDOS RECUBIERTOS 500 mg,F-17398,PHARMA INVESTI DE CHILE S.A.
244,Antibiótico,CLARITROMICINA,Klaricid,Abbott Laboratories,CLARITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-14430,CHEMOPHARMA  S.A.
245,Antibiótico,CLARITROMICINA,Klaricid,Abbott Laboratories,CLARITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-13663,LABORATORIO CHILE S.A
246,Antibiótico,CLARITROMICINA,Klaricid,Abbott Laboratories,PRECLAR COMPRIMIDOS RECUBIERTOS 500 mg,F-8483,LABORATORIO CHILE S.A
247,Antibiótico,CLARITROMICINA,Klaricid,Abbott Laboratories,CLARIMAX COMPRIMIDOS RECUBIERTOS 500 mg,F-14037,LABORATORIOS ANDRÓMACO S.A.
248,Antibiótico,CLARITROMICINA,Klaricid,Abbott Laboratories,CLARITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-13825,LABORATORIOS ANDRÓMACO S.A.
249,Antibiótico,CLARITROMICINA,Klaricid,Abbott Laboratories,INFEX COMPRIMIDOS RECUBIERTOS 500 mg,B-1536,LABORATORIOS LAFI LTDA.
250,Antibiótico,DOXICICLINA,Vibramicina,Pfizer ,DOXICICLINA COMPRIMIDOS 100 mg,F-8392,LABORATORIO CHILE S.A.
251,Antibiótico,DOXICICLINA,Vibramicina,Pfizer ,TOLEXINE GE 100 COMPRIMIDOS 100 mg,F-15120,LABORATORIOS D & M PHARMA LTDA.
252,Antibiótico,DOXICICLINA,Vibramicina,Pfizer ,TOLEXINE GE 50 COMPRIMIDOS 50 mg ,F-15119,LABORATORIOS D & M PHARMA LTDA.
253,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis ,LEVOXIN COMPRIMIDOS  RECUBIERTOS  750 mg,F-22408,EUROMED CHILE S.A.
254,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis ,AUXXIL COMPRIMIDOS RECUBIERTOS  500 mg,F-6249,LABORATORIO CHILE S.A.
255,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis ,LEVOFLOXACINO COMPRIMIDOS RECUBIERTOS  500 mg,F-15283,LABORATORIO CHILE S.A.
256,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis ,AUXXIL COMPRIMIDOS RECUBIERTOS  750 mg,F-14915,LABORATORIO CHILE S.A.
257,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis ,QUINOBIOT COMPRIMIDOS RECUBIERTOS 500 mg,F-7405,LABORATORIOS ANDRÓMACO S.A.
258,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis ,QUINOBIOT COMPRIMIDOS RECUBIERTOS 750 mg,F-14228,LABORATORIOS ANDRÓMACO S.A.
259,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis ,LEVOXIN COMPRIMIDOS RECUBIERTOS 500 mg,F-19998,LABORATORIOS EUROMED CHILE S.A.
260,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis ,LEVOFLOXACINO COMPRIMIDOS RECUBIERTOS  500 mg,F-21740,LABORATORIOS EUROMED CHILE S.A.
261,Antibiótico,LINEZOLIDA,Zyvoxid,Pfizer ,LINEZOLIDA COMPRIMIDOS RECUBIERTOS 600 mg,F-21354,NOVARTIS CHILE S.A.
262,Antibiótico,LINEZOLIDA,Zyvoxid,Pfizer ,LINEZET COMPRIMIDOS RECUBIERTOS 600 mg,F-22121,SYNTHON CHILE LTDA
263,Antibiótico,MOXIFLOXACINO,Avelox,Bayer ,MOXICINO COMPRIMIDOS RECUBIERTOS 400 mg,F-22172,LABORATORIOS ANDRÓMACO S.A.
264,Antibiótico,MOXIFLOXACINO,Avelox,Bayer ,ALMAXOL COMPRIMIDOS RECUBIERTOS 400 mg (MOXIFLOXACINO CLORHIDRATO),F-21767,MINTLAB Co. S.A.
265,Antibiótico,MOXIFLOXACINO,Avelox,Bayer ,MOXIFLOXACINO COMPRIMIDOS RECUBIERTOS 400 mg (MOXIFLOXACINO CLORHIDRATO),F-21768,MINTLAB Co. S.A.
266,Antibiótico,NITROFURANTOÍNA,Microdantina,Boehringer Ingelheim,MACROSAN CÁPSULAS 100 mg,F-3632,INSTITUTO SANITAS S.A.
267,Antibiótico,NITROFURANTOÍNA,Microdantina,Boehringer Ingelheim,MACROSAN CÁPSULAS 50 mg,F-3633,INSTITUTO SANITAS S.A.
268,Antibiótico - Antiparasitario,METRONIDAZOL,Flagyl,Sanofi-Aventis ,METROPAST COMPRIMIDOS 500 mg,F-11648,LABORATORIO PASTEUR S.A.
269,Anticoagulante,ACENOCUMAROL,Neo-sintrom,Novartis ,"COAROL COMPRIMIDOS 4,0 mg",F-7516,LABORATORIOS ANDRÓMACO S.A.
270,Anticoagulante,ACENOCUMAROL,Neo-sintrom,Novartis ,ACEBRON COMPRIMIDOS 4 mg,F-16094,LABORATORIOS RECALCINE S.A.
271,Anticoagulante,ACENOCUMAROL,Neo-sintrom,Novartis ,ISQUELIUM COMPRIMIDOS 4 mg,F-9091,SYNTHON CHILE LTDA.
272,Anticonceptivo,CLORMADINONA+ETINILESTRADIOL,Belara,Grünenthal,VIORA COMPRIMIDOS RECUBIERTOS,F-21578,EXELTIS CHILE S.p.A.
273,Anticonceptivo,DESOGESTREL,Cerazette,Merck Sharp & Dohme ,"TEJANIA COMPRIMIDOS RECUBIERTOS 0,075 mg",F-22297,COMERCIAL GEDEON RICHTER (CHILE) LTDA.
274,Anticonceptivo,DESOGESTREL,Cerazette,Merck Sharp & Dohme ,SOLUNA COMPRIMIDOS 75 mcg ,F-20132,MINTLAB  CO. S.A.
275,Anticonceptivo,DIENOGEST,Visanne,Bayer ,DALGIET COMPRIMIDOS 2 mg,F-21673,EXELTIS CHILE S.p.A.
276,Anticonceptivo,DIENOGEST+ETINILESTRADIOL,Valette,Jenapharm,DANIELE COMPRIMIDOS RECUBIERTOS,F-21685,EXELTIS CHILE S.p.A.
277,Anticonceptivo,ETINILESTRADIOL / DESOGESTREL,Marvelon,Merck Sharp & Dohme ,SOLUNA-E 20 COMPRIMIDOS,F-20210,MINTLAB  CO. S.A.
278,Anticonceptivo,ETINILESTRADIOL / DESOGESTREL,Marvelon,Merck Sharp & Dohme ,SOLUNA E COMPRIMIDOS,F-20211,MINTLAB  CO. S.A.
279,Anticonceptivo,ETINILESTRADIOL / DROSPIRENONA,Yasmin,Bayer ,LADEE 20 COMPRIMIDOS RECUBIERTOS ,F-21659,EXELTIS CHILE S.P.A.
280,Anticonceptivo,ETINILESTRADIOL / DROSPIRENONA,Yasmin,Bayer ,LADEE COMPRIMIDOS RECUBIERTOS ,F-21650,EXELTIS CHILE S.P.A.
281,Anticonceptivo,ETINILESTRADIOL / DROSPIRENONA,Yasmin,Bayer ,LADYGEX COMPRIMIDOS,F-20497,MINTLAB  CO. S.A.
282,Anticonceptivo,ETINILESTRADIOL / DROSPIRENONA,Yasmin,Bayer ,LADYGEX-20 COMPRIMIDOS,F-20142,MINTLAB  CO. S.A.
283,Anticonceptivo,ETINILESTRADIOL / GESTODENO,Minulet,Wyeth,PRENAL COMPRIMIDOS RECUBIERTOS,F-20228,MINTLAB  CO. S.A.
284,Anticonceptivo,ETINILESTRADIOL / LEVONORGESTREL,Microgynon,Bayer ,LEVONORGESTREL/ETINILESTRADIOL 150/30 COMPRIMIDOS RECUBIERTOS,F-20506,MINTLAB  CO. S.A.
285,Anticonceptivo,ETINILESTRADIOL / LEVONORGESTREL,Microgynon,Bayer ,MINEVA E-20 GRAGEAS,F-20189,MINTLAB  CO. S.A.
286,Anticonceptivo,ETINILESTRADIOL / LEVONORGESTREL,Microgynon,Bayer ,MINEVA E 150/30 comprimidos recubiertos,F-21831,MINTLAB Co. S.A.
287,Anticonceptivo,LEVONORGESTREL,Microval,Laboratorios Wyeth,"CERCIORA T COMPRIMIDOS 0,75 mg",F-22468,EXELTIS CHILE S.P.A.
288,Anticonceptivo,LEVONORGESTREL,Microval,Laboratorios Wyeth,"ANULIT COMPRIMIDOS RECUBIERTOS 0,03 mg",F-12693,LABORATORIOS SILESIA S.A.
289,Antidepresivo,ATOMOXETINA,Strattera,Eli Lily,DEATEN COMPRIMIDOS 80 mg,F-19291,LABORATORIOS ANDRÓMACO S.A.
290,Antidepresivo,CITALOPRAM,Cipramil,Lundbeck ,CITTA COMPRIMIDOS RECUBIERTOS 20 mg,F-19655,LABORATORIOS EUROMED CHILE S.A.
291,Antidepresivo,CITALOPRAM,Cipramil,Lundbeck ,CIMAL COMPRIMIDOS RECUBIERTOS 20 mg,F-580,LABORATORIOS LAFI LTDA.
292,Antidepresivo,CITALOPRAM,Cipramil,Lundbeck ,CIMAL COMPRIMIDOS RECUBIERTOS 40 mg,F-2256,LABORATORIOS LAFI LTDA.
293,Antidepresivo,CITALOPRAM,Cipramil,Lundbeck ,CITALOPRAM COMPRIMIDOS 20 mg,F-17253,MINTLAB  CO. S.A.
294,Antidepresivo,CITALOPRAM,Cipramil,Lundbeck ,ZENTIUS COMPRIMIDOS RECUBIERTOS 20 mg,F-11991,PHARMA INVESTI DE CHILE S.A.
295,Antidepresivo,CLOMIPRAMINA,Anafranil,Novartis ,AUSENTRON COMPRIMIDOS RECUBIERTOS 25 mg,F-8331,LABORATORIO CHILE S.A.
296,Antidepresivo,DULOXETINA,Cymbalta,Eli Lilly ,DULOXETINA CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 60 mg,F-20784,ASCEND LABORATORIES SpA
