"Listado de productos Bioequivalentes, actualizado al 31 de Diciembre de 2015",,,,,,,
N°,Uso / Tratamiento,Principio Activo,Producto de referencia,Titular,Producto,Registro,Titular
147,Antiagregante plaquetario / Vasodilatador,CILOSTAZOL,Pletaal,Johnson & Johnson,CILOSVITAE COMPRIMIDOS 100 mg,F-21312,GALENICUM HEALTH CHILE S.p.A.
148,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,REMITEX COMPRIMIDOS RECUBIERTOS 10 mg,F-9692,LABORATORIO BAGÓ DE CHILE S.A.
149,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,ALERTOP COMPRIMIDOS RECUBIERTOS 10 mg,F-7193,LABORATORIO CHILE S.A.
150,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,"CETIRIZINA DICLORHIDRATO COMPRIMIDOS RECUBIERTOS
10 mg",F-13749,LABORATORIO CHILE S.A.
151,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,FINDALER COMPRIMIDOS RECUBIERTOS 10 mg (Cetirizina),F-21819,MEDIPHARM LTDA.
152,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,"CETIRIZINA DICLORHIDRATO COMPRIMIDOS RECUBIERTOS
10 mg",F-10073,MINTLAB CO. S.A.
153,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,COOLIPS COMPRIMIDOS RECUBIERTOS 10 mg,F-10074,MINTLAB CO. S.A.
154,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,SIXACINA COMPRIMIDOS RECUBIERTOS 10 mg,F-15667,SYNTHON  CHILE LTDA.
155,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,"CETIRIZINA DICLORHIDRATO COMPRIMIDOS RECUBIERTOS
10 mg",F-7212,SYNTHON CHILE LTDA.
156,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-3901,LABORATORIO CHILE S.A.
157,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-2310,LABORATORIO MAVER S.A.
158,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,PRODEL COMPRIMIDOS 4 mg,F-1209,LABORATORIO PASTEUR S.A.
159,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-11601,LABORATORIO PASTEUR S.A.
160,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,HISTAFED COMPRIMIDOS 4 mg,F-15502,LABORATORIOS MDK S.A.
161,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,"CLORFENAMINA MALEATO COMPRIMIDOS RECUBIERTOS 4
mg",F-14519,LABORATORIOS ANDRÓMACO S.A.
162,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,SCADAN COMPRIMIDOS 4 mg,F-7764,MEDIPHARM LTDA.
163,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-6877,MINTLAB CO. S.A.
164,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,NIPOLEN COMPRIMIDOS 4 mg,F-13441,MINTLAB CO. S.A.
165,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-9495,SYNTHON CHILE LTDA.
166,Antialérgico,DESLORATADINA,Aerius,Schering Plough,D-HISTAPLUS,F-15444,LABORATORIO PASTEUR S.A.
167,Antialérgico,DESLORATADINA,Aerius,Schering Plough,NEOLARMAX COMPRIMIDOS RECUBIERTOS 5 mg,F-14617,LABORATORIOS ANDRÓMACO S.A.
168,Antialérgico,DESLORATADINA,Aerius,Schering Plough,NEO-ALLEDRYL COMPRIMIDOS RECUBIERTOS 5 mg,F-16473,LABORATORIOS PRATER S.A.
169,Antialérgico,DESLORATADINA,Aerius,Schering Plough,NEOCLARITINE COMPRIMIDOS RECUBIERTOS 5 mg,F-7110,MERCK SHARP & DOHME CHILE LTDA.
170,Antialérgico,DESLORATADINA,Aerius,Schering Plough,DESLORATADINA COMPRIMIDOS RECUBIERTOS 5 mg,F-14377,MINTLAB Co. S.A.
171,Antialérgico,DESLORATADINA,Aerius,Schering Plough,MAILEN COMPRIMIDOS RECUBIERTOS 5 mg,F-14575,PHARMA INVESTI DE CHILE S.A.
172,Antialérgico,FEXOFENADINA,Allegra,Sanofi-Aventis,FENAX COMPRIMIDOS RECUBIERTOS 120 mg,F-22333,LABORATORIOS ANDRÓMACO S.A.
173,Antialérgico,FEXOFENADINA,Allegra,Sanofi-Aventis,FENAX COMPRIMIDOS RECUBIERTOS 180 mg,F-22334,LABORATORIOS ANDRÓMACO S.A.
174,Antialérgico,FEXOFENADINA,Allegra,Sanofi-Aventis,ALEXIA COMPRIMIDOS RECUBIERTOS 120 mg,F-2106,LABORATORIOS SAVAL S.A.
175,Antialérgico,FEXOFENADINA,Allegra,Sanofi-Aventis,ALEXIA FORTE COMPRIMIDOS RECUBIERTOS 180 mg,F-13779,LABORATORIOS SAVAL S.A.
176,Antialérgico,LEVOCETIRIZINA,Xuzal,Glaxosmithkline,DEGRALER COMPRIMIDOS RECUBIERTOS 5 mg,F-14173,LABORATORIO BAGÓ DE CHILE S.A.
177,Antialérgico,LEVOCETIRIZINA,Xuzal,Glaxosmithkline,LEVORIGOTAX COMPRIMIDOS RECUBIERTOS 5 mg,F-18332,LABORATORIOS PRATER S.A.
178,Antialérgico,LEVOCETIRIZINA,Xuzal,Glaxosmithkline,ZIVAL COMPRIMIDOS RECUBIERTOS 5 mg,F-16944,LABORATORIOS SAVAL S.A.
179,Antialérgico,LORATADINA,Clarityne,Merck Sharp & Dohme,LORATADINA COMPRIMIDOS 10 mg,F-8455,LABORATORIO CHILE S.A.
180,Antialérgico,LORATADINA,Clarityne,Merck Sharp & Dohme,FRENALER COMPRIMIDOS 10 mg,F-3940,LABORATORIO CHILE S.A.
181,Antialérgico,LORATADINA,Clarityne,Merck Sharp & Dohme,LORATADINA COMPRIMIDOS 10 mg,F-16767,OPKO CHILE S.A.
182,Antialérgico - Antiasmático,MONTELUKAST,Singulair,Merck Sharp & Dohme,LUCASTE COMPRIMIDOS MASTICABLES 5 mg,F-20589,LABORATORIOS EUROMED CHILE S.A.
183,Antialérgico - Antiasmático,MONTELUKAST,Singulair,Merck Sharp & Dohme,LUCASTE COMPRIMIDOS MASTICABLES 4 mg,F-20588,LABORATORIOS EUROMED CHILE S.A.
184,Antialérgico - Antiasmático,MONTELUKAST,Singulair,Merck Sharp & Dohme,BRONDILAT COMPRIMIDOS RECUBIERTOS 10 mg,F-13368,LABORATORIOS RECALCINE S.A.
185,Antialérgico - Antiasmático,MONTELUKAST,Singulair,Merck Sharp & Dohme,MONTELUKAST COMPRIMIDOS RECUBIERTOS 10 mg,F-22140,NOVARTIS CHILE S.A.
186,Antiarrítmico,DIGOXINA,Digoxina,Laboratorio Chile,"DIGOXINA COMPRIMIDOS 0,25 mg",F-8247,SYNTHON CHILE LTDA.
187,Antibiótico,AMOXICILINA,Amoxil BD,Glaxosmithkline,AMOXICILINA COMPRIMIDOS RECUBIERTOS 875 mg,F-21138,LABORATORIOS  EUROMED CHILE S.A.
188,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,AMOXICILINA/ACIDO CLAVULANICO 875/125 COMPRIMIDOS RECUBIERTOS,F-20795,ASCEND LABORATORIES SpA
189,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,AMOXICILINA/ACIDO CLAVULANICO 875/125 COMPRIMIDOS RECUBIERTOS,F-21230,ASCEND LABORATORIES SpA
190,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,MAXIMOX 875/125 COMPRIMIDOS RECUBIERTOS,F-14065,LABORATORIO PASTEUR S.A.
191,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,AMOLEX DUO 875/125 COMPRIMIDOS RECUBIERTOS,F-19777,LABORATORIOS ANDRÓMACO S.A.
192,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,AMOXICILINA / ÁCIDO CLAVULÁNICO 875/125 COMPRIMIDOS RECUBIERTOS,F-19776,LABORATORIOS ANDRÓMACO S.A.
193,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,CLAVAM DUO 875/125 COMPRIMIDOS RECUBIERTOS,F-19292,LABORATORIOS EUROMED CHILE S.A.
194,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,CLAVOXILINA BID 875/125 COMPRIMIDOS RECUBIERTOS,F-10054,LABORATORIOS LAFI LTDA.
195,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,CLAVINEX DUO 875/125 COMPRIMIDOS RECUBIERTOS,F-12676,LABORATORIOS SAVAL S.A.
196,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,AMOXICILINA + ÁCIDO CLAVULÁNICO 500/125 COMPRIMIDOS RECUBIERTOS,F-18286,OPKO CHILE S.A.
197,Antibiótico,AMOXICILINA+CLAVULÁNICO,Augmentin BID,Glaxosmithkline,AMOXICILINA/ÁCIDO CLAVULÁNICO 875/125 COMPRIMIDOS RECUBIERTOS,F-22321,OPKO CHILE S.A.
198,Antibiótico,AZITROMICINA,Zithromax,Pfizer,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-21866,ASCEND LABORATORIES SpA
199,Antibiótico,AZITROMICINA,Zithromax,Pfizer,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-22082,BLUEPHARMA CHILE S.P.A.
200,Antibiótico,AZITROMICINA,Zithromax,Pfizer,AZITROM COMPRIMIDOS RECUBIERTOS 500 mg,F-8337,LABORATORIO CHILE S.A.
201,Antibiótico,AZITROMICINA,Zithromax,Pfizer,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-4270,LABORATORIO CHILE S.A.
202,Antibiótico,AZITROMICINA,Zithromax,Pfizer,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-19316,LABORATORIOS ANDRÓMACO S.A.
203,Antibiótico,AZITROMICINA,Zithromax,Pfizer,ABACTEN COMPRIMIDOS RECUBIERTOS 500 mg,F-11176,LABORATORIOS ANDRÓMACO S.A.
204,Antibiótico,AZITROMICINA,Zithromax,Pfizer,TREX COMPRIMIDOS RECUBIERTOS 500 mg,F-9808,LABORATORIOS SAVAL S.A.
205,Antibiótico,AZITROMICINA,Zithromax,Pfizer,AZITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-14422,MINTLAB Co. S.A.
206,Antibiótico,AZITROMICINA,Zithromax,Pfizer,ESCOVERANCE COMPRIMIDOS RECUBIERTOS 500 mg,F-20532,SANOFI-AVENTIS DE CHILE S.A.
207,Antibiótico,CEFADROXILO,Cefamox,Bristol Myers Squibb,ADROXEF CÁPSULAS 500 mg,F-21104,LABORATORIO CHILE S.A.
208,Antibiótico,CEFADROXILO,Cefamox,Bristol Myers Squibb,CEFADROXILO CÁPSULAS 500 mg,F-6518,LABORATORIOS ANDRÓMACO S.A.
209,Antibiótico,CEFADROXILO,Cefamox,Bristol Myers Squibb,CEFADROXILO CÁPSULAS 500 mg,F-6874,MINTLAB Co. S.A.
210,Antibiótico,CEFALEXINA,Keflex,Flynn Pharma,CEFALEXINA CÁPSULAS 500 mg,F-20229,ASCEND LABORATORIES SpA
211,Antibiótico,CEFALEXINA,Keflex,Flynn Pharma,CEFALEXINA CÁPSULAS 250 mg,F-20232,ASCEND LABORATORIES SpA
212,Antibiótico,CEFUROXIMA,Curocef,Glaxosmithkline,FAVANEX COMPRIMIDOS RECUBIERTOS 500 mg,F-20237,ASCEND LABORATORIES SpA
213,Antibiótico,CEFUROXIMA,Curocef,Glaxosmithkline,CEFUROXIMA COMPRIMIDOS RECUBIERTOS 500 mg,F-21410,ASCEND LABORATORIES SpA
214,Antibiótico,CEFUROXIMA,Curocef,Glaxosmithkline,CEREVAX COMPRIMIDOS RECUBIERTOS 500 mg,F-15430,LABORATORIOS RECALCINE S.A.
215,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-20718,ASCEND LABORATORIES SpA
216,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-21552,ASCEND LABORATORIES SpA
217,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-8722,CHEMOPHARMA S.A.
218,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CETRAXAL COMPRIMIDOS RECUBIERTOS 500 mg,F-19908,"FAES FARMA CHILE, SALUD Y NUTRICIÓN LTDA."
219,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,TIGINA COMPRIMIDOS RECUBIERTOS 500 mg,F-18455,INTERPHARMA S.A.
220,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-21270,INTERPHARMA S.A.
221,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-8360,LABORATORIO CHILE S.A.
222,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,GRIFOCIPROX COMPRIMIDOS RECUBIERTOS 500 mg,F-8425,LABORATORIO CHILE S.A.
223,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-18221,LABORATORIOS  EUROMED CHILE S.A.
224,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROVAL COMPRIMIDOS RECUBIERTOS 500 mg,F-5523,LABORATORIOS SAVAL S.A.
225,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-9877,MINTLAB CO. S.A.
226,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-14779,OPKO CHILE S.A.
227,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-20908,OPKO CHILE S.A.
228,Antibiótico,CIPROFLOXACINO,Baycip,Bayer,CIRIAX 500 COMPRIMIDOS RECUBIERTOS 500 mg,F-17398,PHARMA INVESTI DE CHILE S.A.
229,Antibiótico,CLARITROMICINA,Klaricid,Abbott Laboratories,CLARITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-14430,CHEMOPHARMA S.A.
230,Antibiótico,CLARITROMICINA,Klaricid,Abbott Laboratories,CLARIMAX COMPRIMIDOS RECUBIERTOS 500 mg,F-14037,LABORATORIOS ANDRÓMACO S.A.
231,Antibiótico,CLARITROMICINA,Klaricid,Abbott Laboratories,CLARITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg,F-13825,LABORATORIOS ANDRÓMACO S.A.
232,Antibiótico,DOXICICLINA,Vibramicina,Pfizer,DOXICICLINA COMPRIMIDOS 100 mg,F-8392,LABORATORIO CHILE S.A.
233,Antibiótico,DOXICICLINA,Vibramicina,Pfizer,TOLEXINE GE 100 COMPRIMIDOS 100 mg,F-15120,LABORATORIOS D & M PHARMA LTDA.
234,Antibiótico,DOXICICLINA,Vibramicina,Pfizer,TOLEXINE GE 50 COMPRIMIDOS 50 mg,F-15119,LABORATORIOS D & M PHARMA LTDA.
235,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis,AUXXIL COMPRIMIDOS RECUBIERTOS 500 mg,F-6249,LABORATORIO CHILE S.A.
236,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis,LEVOFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-15283,LABORATORIO CHILE S.A.
237,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis,AUXXIL COMPRIMIDOS RECUBIERTOS 750 mg,F-14915,LABORATORIO CHILE S.A.
238,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis,QUINOBIOT COMPRIMIDOS RECUBIERTOS 500 mg,F-7405,LABORATORIOS ANDRÓMACO S.A.
239,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis,QUINOBIOT COMPRIMIDOS RECUBIERTOS 750 mg,F-14228,LABORATORIOS ANDRÓMACO S.A.
240,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis,LEVOXIN COMPRIMIDOS RECUBIERTOS 500 mg,F-19998,LABORATORIOS EUROMED CHILE S.A.
241,Antibiótico,LEVOFLOXACINO,Tavanic,Sanofi-Aventis,LEVOFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg,F-21740,LABORATORIOS EUROMED CHILE S.A.
242,Antibiótico,LINEZOLIDA,Zyvoxid,Pfizer,LINEZOLIDA COMPRIMIDOS RECUBIERTOS 600 mg,F-21354,NOVARTIS CHILE S.A.
243,Antibiótico,LINEZOLIDA,Zyvoxid,Pfizer,LINEZET COMPRIMIDOS RECUBIERTOS 600 mg,F-22121,SYNTHON CHILE LTDA
244,Antibiótico,MOXIFLOXACINO,Avelox,Bayer,MOXICINO COMPRIMIDOS RECUBIERTOS 400 mg,F-22172,LABORATORIOS ANDRÓMACO S.A.
245,Antibiótico,MOXIFLOXACINO,Avelox,Bayer,ALMAXOL COMPRIMIDOS RECUBIERTOS 400 mg (MOXIFLOXACINO CLORHIDRATO),F-21767,MINTLAB Co. S.A.
246,Antibiótico,MOXIFLOXACINO,Avelox,Bayer,MOXIFLOXACINO COMPRIMIDOS RECUBIERTOS 400 mg (MOXIFLOXACINO CLORHIDRATO),F-21768,MINTLAB Co. S.A.
247,Antibiótico,NITROFURANTOÍNA,Microdantina,Boehringer Ingelheim,MACROSAN CÁPSULAS 100 mg,F-3632,INSTITUTO SANITAS S.A.
248,Antibiótico,NITROFURANTOÍNA,Microdantina,Boehringer Ingelheim,MACROSAN CÁPSULAS 50 mg,F-3633,INSTITUTO SANITAS S.A.
249,Antibiótico - Antiparasitario,METRONIDAZOL,Flagyl,Sanofi-Aventis,METROPAST COMPRIMIDOS 500 mg,F-11648,LABORATORIO PASTEUR S.A.
250,Anticoagulante,ACENOCUMAROL,Neo-sintrom,Novartis,"COAROL COMPRIMIDOS 4,0 mg",F-7516,LABORATORIOS ANDRÓMACO S.A.
251,Anticoagulante,ACENOCUMAROL,Neo-sintrom,Novartis,ACEBRON COMPRIMIDOS 4 mg,F-16094,LABORATORIOS RECALCINE S.A.
252,Anticoagulante,ACENOCUMAROL,Neo-sintrom,Novartis,ISQUELIUM COMPRIMIDOS 4 mg,F-9091,SYNTHON CHILE LTDA.
253,Anticonceptivo,CLORMADINONA+ETINILESTRADI OL,Belara,Grünenthal,VIORA COMPRIMIDOS RECUBIERTOS,F-21578,EXELTIS CHILE S.p.A.
254,Anticonceptivo,DESOGESTREL,Cerazette,Merck Sharp & Dohme,"TEJANIA COMPRIMIDOS RECUBIERTOS 0,075 mg",F-22297,COMERCIAL GEDEON RICHTER (CHILE) LTDA.
255,Anticonceptivo,DESOGESTREL,Cerazette,Merck Sharp & Dohme,SOLUNA COMPRIMIDOS 75 mcg,F-20132,MINTLAB CO. S.A.
256,Anticonceptivo,DIENOGEST,Visanne,Bayer,DALGIET COMPRIMIDOS 2 mg,F-21673,EXELTIS CHILE S.p.A.
257,Anticonceptivo,DIENOGEST+ETINILESTRADIOL,Valette,Jenapharm,DANIELE COMPRIMIDOS RECUBIERTOS,F-21685,EXELTIS CHILE S.p.A.
258,Anticonceptivo,ETINILESTRADIOL / DESOGESTREL,Marvelon,Merck Sharp & Dohme,SOLUNA-E 20 COMPRIMIDOS,F-20210,MINTLAB CO. S.A.
259,Anticonceptivo,ETINILESTRADIOL / DESOGESTREL,Marvelon,Merck Sharp & Dohme,SOLUNA E COMPRIMIDOS,F-20211,MINTLAB CO. S.A.
260,Anticonceptivo,ETINILESTRADIOL / DROSPIRENONA,Yasmin,Bayer,LADEE 20 COMPRIMIDOS RECUBIERTOS,F-21659,EXELTIS CHILE S.P.A.
261,Anticonceptivo,ETINILESTRADIOL / DROSPIRENONA,Yasmin,Bayer,LADEE COMPRIMIDOS RECUBIERTOS,F-21650,EXELTIS CHILE S.P.A.
262,Anticonceptivo,ETINILESTRADIOL / DROSPIRENONA,Yasmin,Bayer,LADYGEX COMPRIMIDOS,F-20497,MINTLAB CO. S.A.
263,Anticonceptivo,ETINILESTRADIOL / DROSPIRENONA,Yasmin,Bayer,LADYGEX-20 COMPRIMIDOS,F-20142,MINTLAB CO. S.A.
264,Anticonceptivo,ETINILESTRADIOL / GESTODENO,Minulet,Wyeth,PRENAL COMPRIMIDOS RECUBIERTOS,F-20228,MINTLAB CO. S.A.
265,Anticonceptivo,ETINILESTRADIOL / LEVONORGESTREL,Microgynon,Bayer,LEVONORGESTREL/ETINILESTRADIOL 150/30 COMPRIMIDOS RECUBIERTOS,F-20506,MINTLAB CO. S.A.
266,Anticonceptivo,ETINILESTRADIOL / LEVONORGESTREL,Microgynon,Bayer,MINEVA E-20 GRAGEAS,F-20189,MINTLAB CO. S.A.
267,Anticonceptivo,ETINILESTRADIOL / LEVONORGESTREL,Microgynon,Bayer,MINEVA E 150/30 comprimidos recubiertos,F-21831,MINTLAB Co. S.A.
268,Anticonceptivo,LEVONORGESTREL,Microval,Laboratorios Wyeth,"ANULIT COMPRIMIDOS RECUBIERTOS 0,03 mg",F-12693,LABORATORIOS SILESIA S.A.
269,Antidepresivo,ATOMOXETINA,Strattera,Eli Lily,DEATEN COMPRIMIDOS 80 mg,F-19291,LABORATORIOS ANDRÓMACO S.A.
270,Antidepresivo,CITALOPRAM,Cipramil,Lundbeck,CITTA COMPRIMIDOS RECUBIERTOS 20 mg,F-19655,LABORATORIOS EUROMED CHILE S.A.
271,Antidepresivo,CITALOPRAM,Cipramil,Lundbeck,CIMAL COMPRIMIDOS RECUBIERTOS 20 mg,F-580,LABORATORIOS LAFI LTDA.
272,Antidepresivo,CITALOPRAM,Cipramil,Lundbeck,CIMAL COMPRIMIDOS RECUBIERTOS 40 mg,F-2256,LABORATORIOS LAFI LTDA.
273,Antidepresivo,CITALOPRAM,Cipramil,Lundbeck,CITALOPRAM COMPRIMIDOS 20 mg,F-17253,MINTLAB CO. S.A.
274,Antidepresivo,CITALOPRAM,Cipramil,Lundbeck,ZENTIUS COMPRIMIDOS RECUBIERTOS 20 mg,F-11991,PHARMA INVESTI DE CHILE S.A.
275,Antidepresivo,CLOMIPRAMINA,Anafranil,Novartis,AUSENTRON COMPRIMIDOS RECUBIERTOS 25 mg,F-8331,LABORATORIO CHILE S.A.
276,Antidepresivo,DULOXETINA,Cymbalta,Eli Lilly,DULOXETINA CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 60 mg,F-20784,ASCEND LABORATORIES SpA
277,Antidepresivo,DULOXETINA,Cymbalta,Eli Lilly,DULOXETINA CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 30 mg,F-20783,ASCEND LABORATORIES SpA
278,Antidepresivo,DULOXETINA,Cymbalta,Eli Lilly,DULOXETINA CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 30 mg,F-22110,ASCEND LABORATORIES SpA
279,Antidepresivo,DULOXETINA,Cymbalta,Eli Lilly,DULOXETINA CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 60 mg,F-22123,ASCEND LABORATORIES SpA
280,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ETALOKARE COMPRIMIDOS RECUBIERTOS 10 mg,F-19232,ETEX FARMACÉUTICA LTDA.
281,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITAVITAE COMPRIMIDOS RECUBIERTOS 20 mg,F-21382,GALENICUM HEALTH CHILE S.p.A.
282,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITAVITAE COMPRIMIDOS RECUBIERTOS 10 mg,F-21383,GALENICUM HEALTH CHILE S.p.A.
283,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,NEOPRESOL COMPRIMIDOS RECUBIERTOS 10 mg,F-15836,LABORATORIO BAGÓ DE CHILE S.A.
284,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 10 mg,F-18595,LABORATORIO CHILE S.A.
285,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ECTIBAN COMPRIMIDOS RECUBIERTOS 10 mg,F-15040,LABORATORIO CHILE S.A.
286,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ECTIBAN COMPRIMIDOS RECUBIERTOS 20 mg,F-15039,LABORATORIO CHILE S.A.
287,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 20 mg,F-20790,LABORATORIOS EUROMED CHILE S.A.
288,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 10 mg,F-20964,LABORATORIOS EUROMED CHILE S.A.
289,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESC COMPRIMIDOS RECUBIERTOS 20 mg,F-21116,LABORATORIOS EUROMED CHILE S.A.
290,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESC COMPRIMIDOS RECUBIERTOS 10 mg,F-21233,LABORATORIOS EUROMED CHILE S.A.
291,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,IPRAN COMPRIMIDOS RECUBIERTOS 10 mg,F-12972,LABORATORIOS RECALCINE S.A.
292,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,IPRAN COMPRIMIDOS RECUBIERTOS 20 mg,F-12973,LABORATORIOS RECALCINE S.A.
293,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,CELTIUM COMPRIMIDOS RECUBIERTOS 20 mg.,F-15513,LABORATORIOS SAVAL S.A.
294,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,CELTIUM COMPRIMIDOS RECUBIERTOS 10 mg,F-14527,LABORATORIOS SAVAL S.A.
295,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,REPOSIL COMPRIMIDOS RECUBIERTOS 10 mg,F-15314,MEDIPHARM LTDA.
296,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 10 mg,F-17605,MINTLAB CO. S.A.
297,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,PREXAN COMPRIMIDOS RECUBIERTOS 10 mg (ESCITALOPRAM),F-21596,MINTLAB Co. S.A.
298,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 10 mg,F-21595,MINTLAB Co. S.A.
299,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,TRESUS COMPRIMIDOS RECUBIERTOS 20 mg,F-19103,NOVARTIS CHILE S.A.
300,Antidepresivo,ESCITALOPRAM,Lexapro,Lundbeck,TRESUS COMPRIMIDOS RECUBIERTOS 10 mg,F-19102,NOVARTIS CHILE S.A.
